Collectionq,Location,Box,Folder,Series,Subseries,Description
Regula,01-7-35-01-01-0-1,1.0,1.0,Appropriations Committee,Agriculture Subcommittee,"Budget for FY99, bill, 1998."
Regula,01-7-35-01-01-0-1,1.0,2.0,Appropriations Committee,Agriculture Subcommittee,"Budget for FY99, committee report, 1998."
Regula,01-7-35-01-01-0-1,1.0,3.0,Appropriations Committee,Agriculture Subcommittee,"Budget for FY99, correspondence, 1998."
Regula,01-7-35-01-01-0-1,1.0,4.0,Appropriations Committee,Agriculture Subcommittee,"Budget for FY99, projects, requests by RR, 1998."
Regula,01-7-35-01-01-0-1,1.0,5.0,Appropriations Committee,Agriculture Subcommittee,"Budget for FY01, bill, 2000."
Regula,01-7-35-01-01-0-1,1.0,6.0,Appropriations Committee,Agriculture Subcommittee,"Budget for FY01, committee report, 2000."
Regula,01-7-35-01-01-0-1,1.0,7.0,Appropriations Committee,Agriculture Subcommittee,"Budget for FY01, correspondence and related documents, 2000."
Regula,01-7-35-01-01-0-1,1.0,8.0,Appropriations Committee,Agriculture Subcommittee,"Budget for FY01, issues, Biomass Research, 2000."
Regula,01-7-35-01-01-0-1,1.0,9.0,Appropriations Committee,Agriculture Subcommittee,"Budget for FY01, issues, Conservation Reserve Program, 2000."
Regula,01-7-35-01-01-0-1,1.0,10.0,Appropriations Committee,Agriculture Subcommittee,"Budget for FY01, issues, Dairy Compacts, 2000."
Regula,01-7-35-01-01-0-1,1.0,11.0,Appropriations Committee,Agriculture Subcommittee,"Budget for FY01, issues, Environmental Protection Agency Total Maximum Daily Loads regulations, 2000."
Regula,01-7-35-01-01-0-1,1.0,12.0,Appropriations Committee,Agriculture Subcommittee,"Budget for FY01, issues, Food and Medicine Trade Sanctions on Cuba, 2000."
Regula,01-7-35-01-01-0-1,1.0,13.0,Appropriations Committee,Agriculture Subcommittee,"Budget for FY01, issues, Genetic Engineered Food, 2000."
Regula,01-7-35-01-01-0-1,1.0,14.0,Appropriations Committee,Agriculture Subcommittee,"Budget for FY01, issues, Loan Deficiency Payments, 2000."
Regula,01-7-35-01-01-0-1,1.0,15.0,Appropriations Committee,Agriculture Subcommittee,"Budget for FY01, issues, Pesticide Use Regulations in Food Quality Protection Act, 2000."
Regula,01-7-35-01-01-0-1,1.0,16.0,Appropriations Committee,Agriculture Subcommittee,"Budget for FY01, issues, Prescription Drug Importation, 2000."
Regula,01-7-35-01-01-0-1,1.0,17.0,Appropriations Committee,Agriculture Subcommittee,"Budget for FY01, issues, Wildlife Rabies Control, 2000."
Regula,01-7-35-01-01-0-1,1.0,18.0,Appropriations Committee,Agriculture Subcommittee,"Budget for FY01, issues, Women, Infants and Children Nutrition Program, 2000."
Regula,01-7-35-01-01-0-1,1.0,19.0,Appropriations Committee,Agriculture Subcommittee,"Budget for FY01, projects, requests by RR, 2000."
Regula,01-7-35-01-01-0-1,1.0,20.0,Appropriations Committee,Agriculture Subcommittee,"Budget for FY01, projects, Beach City, Ohio wastewater treatment plant, 2000."
Regula,01-7-35-01-01-0-1,1.0,21.0,Appropriations Committee,Agriculture Subcommittee,"Budget for FY02, amendments, 2001."
Regula,01-7-35-01-01-0-1,1.0,22.0,Appropriations Committee,Agriculture Subcommittee,"Budget for FY02, bill, 2001."
Regula,01-7-35-01-01-0-1,1.0,23.0,Appropriations Committee,Agriculture Subcommittee,"Budget for FY02, committee report, 2001."
Regula,01-7-35-01-01-0-1,1.0,24.0,Appropriations Committee,Agriculture Subcommittee,"Budget for FY02, correspondence and related documents, 2001."
Regula,01-7-35-01-01-0-1,1.0,25.0,Appropriations Committee,Agriculture Subcommittee,"Budget for FY03, committee report, 2002."
Regula,01-7-35-01-01-0-1,1.0,26.0,Appropriations Committee,Agriculture Subcommittee,"Budget for FY03, correspondence and related documents, 2002."
Regula,01-7-35-01-01-0-1,1.0,27.0,Appropriations Committee,Agriculture Subcommittee,"Budget for FY03, hearing on farm bill programs, August 12, 2002."
Regula,01-7-35-01-01-0-1,1.0,28.0,Appropriations Committee,Agriculture Subcommittee,"Budget for FY03, projects, requests by RR, 2002."
Regula,01-7-35-01-01-0-1,1.0,29.0,Appropriations Committee,Agriculture Subcommittee,"Budget for FY04, bill, 2003."
Regula,01-7-35-01-01-0-1,1.0,30.0,Appropriations Committee,Agriculture Subcommittee,"Budget for FY04, committee report, 2003."
