Collectionq,Location,Box,Folder,Series,Subseries,Description
Regula,01-7-33-14-01-5-1,120.0,1.0,Audiovisual,Photographs,"American Ex-Prisoners of War reception, March 25, 1998."
Regula,01-7-33-14-01-5-1,120.0,2.0,Audiovisual,Photographs,"American Security Council, National Security Leadership Award, October 4, 1994."
Regula,01-7-33-14-01-5-1,120.0,3.0,Audiovisual,Photographs,"Ancell Perry Jobs Rally, November 2001."
Regula,01-7-33-14-01-5-1,120.0,4.0,Audiovisual,Photographs,"Arlington National Cemetery wreath laying ceremony, April 1976."
Regula,01-7-33-14-01-5-1,120.0,5.0,Audiovisual,Photographs,"Association of Naval Aviation awards ceremony, no date."
Regula,01-7-33-14-01-5-1,120.0,6.0,Audiovisual,Photographs,"Babcock-Wilcox Clean Environment Development Facility dedication, October 1994."
Regula,01-7-33-14-01-5-1,120.0,7.0,Audiovisual,Photographs,"Belhaven Bicycle Trip, October 2, 1973."
Regula,01-7-33-14-01-5-1,120.0,8.0,Audiovisual,Photographs,"Bicentennial Events, 1976."
Regula,01-7-33-14-01-5-1,120.0,9.0,Audiovisual,Photographs,"Biographical, sampling of photographs compiled by staff, circa 2006."
Regula,01-7-33-14-01-5-1,120.0,10.0,Audiovisual,Photographs,"Calderon Energy/Alliance Machine Company, clean coal technology, 1988."
Regula,01-7-33-14-01-5-1,120.0,11.0,Audiovisual,Photographs,"Campaigns, circa 1970s."
Regula,01-7-33-14-01-5-1,120.0,12.0,Audiovisual,Photographs,"Campaigns, 1972."
Regula,01-7-33-14-01-5-1,120.0,13.0,Audiovisual,Photographs,"Campaigns, 1986."
Regula,01-7-33-14-01-5-1,120.0,14.0,Audiovisual,Photographs,"Campaigns, ""Rally for Ralph"" event with Congressman John Rhodes and George Voinovich (candidate for Ohio Lt. Governor), 1978."
Regula,01-7-33-14-01-5-1,120.0,15.0,Audiovisual,Photographs,"Campaigns, ""Rally for Ralph"" event with Vice President Dan Quayle, circa 1988."
Regula,01-7-33-14-01-5-1,120.0,16.0,Audiovisual,Photographs,"Campaigns, ""Rally for Ralph"" event with Congressman Robert H. Michel, 1990."
Regula,01-7-33-14-01-5-1,120.0,17.0,Audiovisual,Photographs,"Campaigns, ""Rally for Ralph"" event, 1992."
