Collectionq,Location,Box,Folder,Series,Subseries,Description
Kilroy,01-7-38-07-08-5-1,6.0,1.0,Audiovisual Materials,,"Photographs, January - May, 2009 (CD):
Northside press conference, January 23, 2009.
Ohio State University College of Engineering visit, February 19, 2009.
Veterans Administration district day, February 21, 2009.
Project SEARCH High School Transition Program, March 20, 2009.
Ohio State University Cancer Center visit, March 25, 2009.
Weatherization Event, March 27, 2009.
Ohio State Medical Association Political Action Committee Physicians Roundtable, April 8, 2009.
Multiple Sclerosis event and the Amazing Race Guy, May 6, 2009.
Franklin Heights High School press conference, May 29, 2009."
Kilroy,01-7-38-07-08-5-1,6.0,2.0,Audiovisual Materials,,"Photographs, June - July 2009 (CD):
Congressman Steny Hoyer visit, June 2009.
Digital television antannae converter, June 2009.
New homebuyers event, June 2009.
School visit to U.S. Capitol Building, June 2009.
Honor Flight Columbus event at the World War II Memorial, June 17, 2009.
Chalmers Wylie Veterans Administration Ambulatory Care Center tour, June 23, 2009.
Nurses Roundtable meeting, June 24, 2009.
Congressman Pedro Peirluisi visit, June 30, 2009.
Doctors Hospital tour, July 1, 2009.
Rural Roundtable, July 2, 2009.
Clintonville Breakfast and Service Employees International Union healthcare banner, July 7, 2009.
Madison County Fair, July 18, 2009.
Wellness Roundtable, July 20, 2009."
Kilroy,01-7-38-07-08-5-1,6.0,3.0,Audiovisual Materials,,"Photographs, August - November 2009 (CD):
Clintonville for Change, August 30, 2009.
Life Care Alliance Health Care Town Hall, September 8, 2009.
Worthington Festival, September 19, 2009.
Ohio Air National Guard hometown hero event, September 27, 2009.
Turn the Steps Pink event, October 8, 2009.
Ohio State University Solar Decathlon, October 15, 2009.
Health Care Reform Bill unveiling, October 29, 2009.
Groveport Veterans Day, November 11, 2009."
Kilroy,01-7-38-07-08-5-1,6.0,4.0,Audiovisual Materials,,"Photographs, January - May 2010 (CD):
Federal Trade Commission press conference, January 13, 2010.
New York Stock Exchange, February 23, 2010.
Field Hearing, March 1, 2010.
Multiple Sclerosis event, March 3, 2010.
Patient Protection and Affordable Care Act signing at the White House, March 23, 2010.
Mobile Office, May 7, 2010.
Ohio State University Medical Center panel, May 10, 2010.
Ohio Fire and Emergency Equipment Industry Showcase, May 17, 2010.
Vista event, May 17, 2010.
Census Mailbox event, May 20, 2010.
Hilltop clean-up event, May 20, 2010.
Netflix ribbon cutting event, May 29, 2010."
Kilroy,01-7-38-07-08-5-1,6.0,5.0,Audiovisual Materials,,"Photographs, June - July 2010 (CD):
Mount Carmel Health visit, June 3, 2010.
Northwest Library Mobile Office, June 3, 2010.
Multiple Sclerosis Walk, June 4, 2010.
TechColumbus bioscience panel, June 7, 2010.
Upper Arlington health care panel, June 9, 2010.
Xenia Road Bridge Replacement Project, June 10, 2010.
Hilltop Bean Dinner, June 28, 2010.
London Strawberry Festival, June 28, 2010.
Riverside Mobile Office, June 28, 2009.
Ohio National Guard solar panel field ribbon cutting event, July 6, 2010.
Madison County Fair, July 12, 2010.
Nationwide Children's Hospital visit, July 21, 2010."
Kilroy,01-7-38-07-08-5-1,6.0,6.0,Audiovisual Materials,,"Photographs, August - November 2010 (CD):
Ohio National Guard unit welcome home, August 4, 2010.
Secretary of Transportation Ray LaHood roundtable, August 6, 2010.
Crane Plastics factory tour, August 10, 2010.
Credit Card roundtable, August 11, 2010.
Grove City Center for Higher Education grand opening, August 18, 2010.
Social Security 75th anniversary celebration, August 19, 2010.
Veterans Outreach Picnic, August 23, 2010.
Constituent Roundtable, August 26, 2010.
Homeownership workshop, August 28, 2010.
Secretary of Energy Steven Chu's visit to Battelle, August 31, 2010.
Health Care Rally, September 1, 2010.
Columbus Prescription Pharmacies site visit, September 8, 2010.
CTL Engineering tour, September 9, 2010.
Bike to Work Week, November 11, 2010.
Interstate 70 and State Route 665 interchange groundbreaking, November 17, 2010."
Kilroy,01-7-38-07-08-5-1,6.0,7.0,Audiovisual Materials,,"Photographs, miscellaneous, 2009-2010 (CD):
MJK and President Barack Obama, 2009-2010.
MJK official member portrait, 2009.
MJK with Congressional colleagues, 2009-2010."
Kilroy,01-7-38-07-08-5-1,6.0,8.0,Audiovisual Materials,,"Audio Recordings (CD):
	WTVN-AM 610 interview with MJK about health care reform, September 2, 2009.
MJK public service announcement on holiday safety, December 22, 2009."
Kilroy,01-7-38-07-08-5-1,6.0,9.0,Audiovisual Materials,,"Video Recordings, CSPAN, March - July 2009 (DVD):
	MJK remarks on the use of retention bonuses for employees of American International Group, Inc. (AGI), March 19, 2009.
	MJK remarks and questions at a House Financial Services Committee hearing on American International Group, Inc. (AGI), March 26, 2009.
	MJK floor statement of legislative measures to prevent smoke in aircraft cockpits, May 21, 2009.
	MJK questions for Ben Bernanke during a House Financial Services Committee hearing on Federal Reserve policy, July 21, 2009.
	MJK questions for during a House Financial Services Committee hearing on the Troubled Asset Relief Program (TARP), July 22, 2009.
	MJK statement at a House Financial Services Committee hearing on the Troubled Asset Relief Program (TARP), July 22, 2009."
Kilroy,01-7-38-07-08-5-1,6.0,10.0,Audiovisual Materials,,"Video Recordings, CSPAN, July - October 2009 (DVD):
	MJK hearing statement on the use of proxy shareholder votes, July 28, 2009.
	MJK floor statement on breast cancer, October 7, 2009."
Kilroy,01-7-38-07-08-5-1,6.0,11.0,Audiovisual Materials,,"Video Recording, CSPAN, October 2009 (DVD):
	MJK statement during House Homeland Security Committee hearing on FEMA preparedness grants, October 27, 2009."
Kilroy,01-7-38-07-08-5-1,6.0,12.0,Audiovisual Materials,,"Video Recording, CSPAN, October 2009 (DVD):
	MJK statement at a rally for the Affordable Health Care for America Act, October 29, 2010."
