Collectionq,Location,Box,Folder,Series,Subseries,Description
Regula,01-7-33-08-06-0-1,97.0,12.0,Bills Sponsored/Co-sponsored,Bills Sponsored/Co-sponsored,"General File - Dear Colleague letters, printed bills and related materials, 1977."
Regula,01-7-33-08-06-0-1,97.0,13.0,Bills Sponsored/Co-sponsored,Bills Sponsored/Co-sponsored,"General File - Dear Colleague letters, printed bills and related materials, 1999."
Regula,01-7-33-08-06-0-1,97.0,14.0,Bills Sponsored/Co-sponsored,Bills Sponsored/Co-sponsored,"General File - Dear Colleague letters, printed bills and related materials, 2000."
Regula,01-7-33-08-06-0-1,97.0,15.0,Bills Sponsored/Co-sponsored,Bills Sponsored/Co-sponsored,"General File - Dear Colleague letters, printed bills and related materials, 2001."
Regula,01-7-33-08-06-0-1,97.0,16.0,Bills Sponsored/Co-sponsored,Bills Sponsored/Co-sponsored,"General File - Dear Colleague letters, printed bills and related materials, 2004."
Regula,01-7-33-08-06-0-1,97.0,17.0,Bills Sponsored/Co-sponsored,Bills Sponsored/Co-sponsored,"General File - Dear Colleague letters, printed bills and related materials, 2005."
Regula,01-7-33-08-06-0-1,97.0,18.0,Bills Sponsored/Co-sponsored,Bills Sponsored/Co-sponsored,"General File - Dear Colleague letters, printed bills and related materials, 2006."
Regula,01-7-33-08-06-0-1,97.0,19.0,Bills Sponsored/Co-sponsored,Bills Sponsored/Co-sponsored,"General File - Dear Colleague letters, printed bills and related materials, 2007."
Regula,01-7-33-08-06-0-1,97.0,20.0,Bills Sponsored/Co-sponsored,Bills Sponsored/Co-sponsored,"General File - Dear Colleague letters, printed bills and related materials, 2008."
Regula,01-7-33-08-06-0-1,97.0,21.0,Bills Sponsored/Co-sponsored,Bills Sponsored/Co-sponsored,"Legislative Profile of RR, 108th Congress, 2003-2004."
Regula,01-7-33-08-06-0-1,97.0,22.0,Bills Sponsored/Co-sponsored,Bills Sponsored/Co-sponsored,"Legislative Profile of RR, 109th Congress, 2005-2006."
Regula,01-7-33-08-06-0-1,97.0,23.0,Bills Sponsored/Co-sponsored,Bills Sponsored/Co-sponsored,"America's Brownfields Cleanup Act, H.R. 4480, 2006."
Regula,01-7-33-08-06-0-1,97.0,24.0,Bills Sponsored/Co-sponsored,Bills Sponsored/Co-sponsored,"Biemial Budget Act of 1999, H.R. 232."
Regula,01-7-33-08-06-0-1,97.0,25.0,Bills Sponsored/Co-sponsored,Bills Sponsored/Co-sponsored,"Boot Camp Prisons, H.R. 3395, background materials, 1988-1990."
Regula,01-7-33-08-06-0-1,97.0,26.0,Bills Sponsored/Co-sponsored,Bills Sponsored/Co-sponsored,"Boot Camp Prisons, H.R. 3395, bill, 1991."
Regula,01-7-33-08-06-0-1,97.0,27.0,Bills Sponsored/Co-sponsored,Bills Sponsored/Co-sponsored,"Boot Camp Prisons, H.R. 3395, correspondence, 1991-1993."
Regula,01-7-33-08-06-0-1,97.0,28.0,Bills Sponsored/Co-sponsored,Bills Sponsored/Co-sponsored,"Boot Camp Prisons, H.R. 3395, correspondence with governors, 1991."
Regula,01-7-33-08-06-0-1,97.0,29.0,Bills Sponsored/Co-sponsored,Bills Sponsored/Co-sponsored,"Boot Camp Prisons, H.R. 3395, newspaper clippings, 1990-1992."
Regula,01-7-33-08-06-0-1,97.0,30.0,Bills Sponsored/Co-sponsored,Bills Sponsored/Co-sponsored,"Boot Camp Prisons, H.R. 3395, statements by RR, 1991."
Regula,01-7-33-08-06-0-1,97.0,31.0,Bills Sponsored/Co-sponsored,Bills Sponsored/Co-sponsored,"Boot Camp Prisons, H.R. 1203, bill, 1993."
Regula,01-7-33-08-06-0-1,97.0,32.0,Bills Sponsored/Co-sponsored,Bills Sponsored/Co-sponsored,"Boot Camp Prisons, H.R. 1203, correspondence, 1993-1994."
Regula,01-7-33-08-06-0-1,97.0,33.0,Bills Sponsored/Co-sponsored,Bills Sponsored/Co-sponsored,"Boot Camp Prisons, H.R. 1203, correspondence with governors, 1993-1994."
Regula,01-7-33-08-06-0-1,97.0,34.0,Bills Sponsored/Co-sponsored,Bills Sponsored/Co-sponsored,"Boot Camp Prisons, H.R. 1203, newspaper clippings, 1993-1994."
Regula,01-7-33-08-06-0-1,97.0,35.0,Bills Sponsored/Co-sponsored,Bills Sponsored/Co-sponsored,"Boot Camp Prisons, H.R. 1203, statements by RR, 1993."
Regula,01-7-33-08-06-0-1,97.0,36.0,Bills Sponsored/Co-sponsored,Bills Sponsored/Co-sponsored,"Budget Reform Legislation, 1987."
Regula,01-7-33-08-06-0-1,97.0,37.0,Bills Sponsored/Co-sponsored,Bills Sponsored/Co-sponsored,"Campaign Finance Reform legislation, H.R. 1641, 1999."
Regula,01-7-33-08-06-0-1,97.0,38.0,Bills Sponsored/Co-sponsored,Bills Sponsored/Co-sponsored,"Capital Gains Tax Reduction, 1995."
Regula,01-7-33-08-06-0-1,97.0,39.0,Bills Sponsored/Co-sponsored,Bills Sponsored/Co-sponsored,"Consolidation Student Loan Flexibility Act of 2003, H.R. 942."
Regula,01-7-33-08-06-0-1,97.0,40.0,Bills Sponsored/Co-sponsored,Bills Sponsored/Co-sponsored,"Deep Ocean Energy Resources Act of 2008, H.R. 6108."
Regula,01-7-33-08-06-0-1,97.0,41.0,Bills Sponsored/Co-sponsored,Bills Sponsored/Co-sponsored,"Digital Opportunity Investment Act, H.R. 2512, background materials, 2005."
Regula,01-7-33-09-01-0-1,98.0,1.0,Bills Sponsored/Co-sponsored,Bills Sponsored/Co-sponsored,"Digital Opportunity Investment Act, H.R. 2512, bill, 2005."
Regula,01-7-33-09-01-0-1,98.0,2.0,Bills Sponsored/Co-sponsored,Bills Sponsored/Co-sponsored,"Digital Opportunity Investment Act, H.R. 2512, briefing book, 2006."
Regula,01-7-33-09-01-0-1,98.0,3.0,Bills Sponsored/Co-sponsored,Bills Sponsored/Co-sponsored,"Digital Opportunity Investment Act, H.R. 2512, correspondence and related materials, 2005-2006."
Regula,01-7-33-09-01-0-1,98.0,4.0,Bills Sponsored/Co-sponsored,Bills Sponsored/Co-sponsored,"Digital Opportunity Investment Act, H.R. 2512, newspaper clippings, 2005-2006."
Regula,01-7-33-09-01-0-1,98.0,5.0,Bills Sponsored/Co-sponsored,Bills Sponsored/Co-sponsored,"District of Columbia Fiscal Fairness Act, various bills, 1991-1996."
Regula,01-7-33-09-01-0-1,98.0,6.0,Bills Sponsored/Co-sponsored,Bills Sponsored/Co-sponsored,"District of Columbia Retrocession, background materials from Congressional Research Service, 2000."
Regula,01-7-33-09-01-0-1,98.0,7.0,Bills Sponsored/Co-sponsored,Bills Sponsored/Co-sponsored,"District of Columbia Retrocession, background materials on district/federal relationship."
Regula,01-7-33-09-01-0-1,98.0,8.0,Bills Sponsored/Co-sponsored,Bills Sponsored/Co-sponsored,"District of Columbia Retrocession, background materials on legal status."
Regula,01-7-33-09-01-0-1,98.0,9.0,Bills Sponsored/Co-sponsored,Bills Sponsored/Co-sponsored,"District of Columbia Retrocession, Committee for the Capital City, 1996-1998."
Regula,01-7-33-09-01-0-1,98.0,10.0,Bills Sponsored/Co-sponsored,Bills Sponsored/Co-sponsored,"District of Columbia Retrocession, listing of bills sponsored by RR, 1990-1995."
Regula,01-7-33-09-01-0-1,98.0,11.0,Bills Sponsored/Co-sponsored,Bills Sponsored/Co-sponsored,"District of Columbia Retrocession Act, H.R. 1028, 1995-1996."
Regula,01-7-33-09-01-0-1,98.0,12.0,Bills Sponsored/Co-sponsored,Bills Sponsored/Co-sponsored,"District of Columbia Retrocession Act, H.R. 831, 1997-1998."
Regula,01-7-33-09-01-0-1,98.0,13.0,Bills Sponsored/Co-sponsored,Bills Sponsored/Co-sponsored,"District of Columbia Retrocession Act, H.R. 558, 1999."
Regula,01-7-33-09-01-0-1,98.0,14.0,Bills Sponsored/Co-sponsored,Bills Sponsored/Co-sponsored,"District of Columbia - Maryland Reunion Act, H.R. 381, 2003-2005."
Regula,01-7-33-09-01-0-1,98.0,15.0,Bills Sponsored/Co-sponsored,Bills Sponsored/Co-sponsored,"District of Columbia Statehood, background materials."
Regula,01-7-33-09-01-0-1,98.0,16.0,Bills Sponsored/Co-sponsored,Bills Sponsored/Co-sponsored,"Drug Offender Boot Camps, H.R. 3395, 1991-1994."
Regula,01-7-33-09-01-0-1,98.0,17.0,Bills Sponsored/Co-sponsored,Bills Sponsored/Co-sponsored,"Great Lakes Consortium for International Development, 2007."
Regula,01-7-33-09-01-0-1,98.0,18.0,Bills Sponsored/Co-sponsored,Bills Sponsored/Co-sponsored,"High Skills, Competitive Workforce Act of 1991, H.R. 3470, background materials (part 1 of 2)."
Regula,01-7-33-09-01-0-1,98.0,19.0,Bills Sponsored/Co-sponsored,Bills Sponsored/Co-sponsored,"High Skills, Competitive Workforce Act of 1991, H.R. 3470, background materials (part 2 of 2)."
Regula,01-7-33-09-01-0-1,98.0,20.0,Bills Sponsored/Co-sponsored,Bills Sponsored/Co-sponsored,"High Skills, Competitive Workforce Act of 1991, H.R. 3470, bill, House."
Regula,01-7-33-09-01-0-1,98.0,21.0,Bills Sponsored/Co-sponsored,Bills Sponsored/Co-sponsored,"High Skills, Competitive Workforce Act of 1991, H.R. 3470, bill, Senate, and notes from Senate hearing."
Regula,01-7-33-09-01-0-1,98.0,22.0,Bills Sponsored/Co-sponsored,Bills Sponsored/Co-sponsored,"High Skills, Competitive Workforce Act of 1991, H.R. 3470, bill summaries, highlights, meetings, and related materials."
Regula,01-7-33-09-01-0-1,98.0,23.0,Bills Sponsored/Co-sponsored,Bills Sponsored/Co-sponsored,"High Skills, Competitive Workforce Act of 1991, H.R. 3470, Congressional Record, October 1991."
Regula,01-7-33-09-01-0-1,98.0,24.0,Bills Sponsored/Co-sponsored,Bills Sponsored/Co-sponsored,"High Skills, Competitive Workforce Act of 1991, H.R. 3470, correspondence, 1991-1992."
Regula,01-7-33-09-01-0-1,98.0,25.0,Bills Sponsored/Co-sponsored,Bills Sponsored/Co-sponsored,"High Skills, Competitive Workforce Act of 1991, H.R. 3470, newspaper clippings."
Regula,01-7-33-09-01-0-1,98.0,26.0,Bills Sponsored/Co-sponsored,Bills Sponsored/Co-sponsored,"High Skills, Competitive Workforce Act of 1991, H.R. 3470, President's Job Training 2000 Program, 1992."
Regula,01-7-33-09-01-0-1,98.0,27.0,Bills Sponsored/Co-sponsored,Bills Sponsored/Co-sponsored,"Internet Gambling Prohibition Act, H.R. 4777, 2006."
Regula,01-7-33-09-01-0-1,98.0,28.0,Bills Sponsored/Co-sponsored,Bills Sponsored/Co-sponsored,"Lincoln Highway Study Act of 1999, H.R. 2570, 1999-2000."
