Collectionq,Location,Box,Folder,Series,Subseries,Description
Pryce,01-7-36-06-07-0-1,23.0,1.0,Committees,Financial Services Committee,"American Home Ownership and Economic Opportunity Act, H.R. 1776, 2000."
Pryce,01-7-36-06-07-0-1,23.0,2.0,Committees,Financial Services Committee,"Civil Rights Act of 1964 Commemorative Coin, H.R. 4770, 2006."
Pryce,01-7-36-06-07-0-1,23.0,3.0,Committees,Financial Services Committee,Civil Rights Tax Relief Act of 2005.
Pryce,01-7-36-06-07-0-1,23.0,4.0,Committees,Financial Services Committee,"Committee on Foreign Investment in the U.S. (CFIUS), 2006."
Pryce,01-7-36-06-07-0-1,23.0,5.0,Committees,Financial Services Committee,"Community Development Block Grant Program, 2005-2006."
Pryce,01-7-36-06-07-0-1,23.0,6.0,Committees,Financial Services Committee,"Congressional Urban Caucus, 2001-2003."
Pryce,01-7-36-06-07-0-1,23.0,7.0,Committees,Financial Services Committee,"Corporation for Public Broadcasting funding, 2005."
Pryce,01-7-36-06-07-0-1,23.0,8.0,Committees,Financial Services Committee,"Correspondence, housing issues, 2004-2006."
Pryce,01-7-36-06-07-0-1,23.0,9.0,Committees,Financial Services Committee,"Correspondence, miscellaneous issues, 2003-2006."
Pryce,01-7-36-06-07-0-1,23.0,10.0,Committees,Financial Services Committee,"Correspondence, miscellaneous issues, 2007-2008."
Pryce,01-7-36-06-07-0-1,23.0,11.0,Committees,Financial Services Committee,"Data Breach/Identification Theft hearing, May 4, 2005."
Pryce,01-7-36-06-07-0-1,23.0,12.0,Committees,Financial Services Committee,"Derivatives and Hedge Funds, accounting regulations for, 1997."
Pryce,01-7-36-06-07-0-1,23.0,13.0,Committees,Financial Services Committee,"Employment Non-discrimination Act, H.R. 3685, 2007."
Pryce,01-7-36-06-07-0-1,23.0,14.0,Committees,Financial Services Committee,"Expanding American Homeownership Act, H.R. 1852, 2007."
Pryce,01-7-36-06-07-0-1,23.0,15.0,Committees,Financial Services Committee,"Export/Import Bank Reauthorization, 2006."
Pryce,01-7-36-06-07-0-1,23.0,16.0,Committees,Financial Services Committee,"Fairness for Disabled Students Act, H.R. 1966, 2007."
Pryce,01-7-36-06-07-0-1,23.0,17.0,Committees,Financial Services Committee,"Federal Housing Financial Reform Acts, 2005 and 2007."
