Collectionq,Location,Box,Folder,Series,Subseries,Description
Glenn,01-8-27-13-04-0-1,438.0,1.0,Constituent Services,Constituent Correspondence,"Library of form letters for issue mail, numeric listing - # 1-100, prior to 1986."
Glenn,01-8-27-13-04-0-1,438.0,2.0,Constituent Services,Constituent Correspondence,"Library of form letters for issue mail, numeric listing - # 101-200, prior to 1986."
Glenn,01-8-27-13-04-0-1,438.0,3.0,Constituent Services,Constituent Correspondence,"Library of form letters for issue mail, numeric listing - # 201-300, prior to 1986."
Glenn,01-8-27-13-04-0-1,438.0,4.0,Constituent Services,Constituent Correspondence,"Library of form letters for issue mail, numeric listing - # 301-400, prior to 1986."
Glenn,01-8-27-13-04-0-1,438.0,5.0,Constituent Services,Constituent Correspondence,"Library of form letters for issue mail, numeric listing - # 401-499, prior to 1986."
Glenn,01-8-27-13-04-0-1,438.0,6.0,Constituent Services,Constituent Correspondence,"Library of form letters for issue mail, numeric listing - # 500-600, prior to 1986."
Glenn,01-8-27-13-04-0-1,438.0,7.0,Constituent Services,Constituent Correspondence,"Library of form letters for issue mail, numeric listing - # 601-700, prior to 1986."
Glenn,01-8-27-13-04-0-1,438.0,8.0,Constituent Services,Constituent Correspondence,"Library of form letters for issue mail, numeric listing - # 701-800, prior to 1986."
Glenn,01-8-27-13-04-0-1,438.0,9.0,Constituent Services,Constituent Correspondence,"Library of form letters for issue mail, numeric listing - # 801-900, prior to 1986."
Glenn,01-8-27-13-04-0-1,438.0,10.0,Constituent Services,Constituent Correspondence,"Library of form letters for issue mail, numeric listing - # 901-999, prior to 1986."
Glenn,01-8-27-13-04-0-1,438.0,11.0,Constituent Services,Constituent Correspondence,"Library of form letters for issue mail, numeric listing - # 1000-1100, prior to 1986."
Glenn,01-8-27-13-04-0-1,438.0,12.0,Constituent Services,Constituent Correspondence,"Library of form letters for issue mail, numeric listing - # 1101-1200, prior to 1986."
Glenn,01-8-27-13-04-0-1,438.0,13.0,Constituent Services,Constituent Correspondence,"Library of form letters for issue mail, numeric listing - # 1200-1300, prior to 1986."
Glenn,01-8-27-13-04-0-1,438.0,14.0,Constituent Services,Constituent Correspondence,"Library of form letters for issue mail, numeric listing - # 1301-1400, prior to 1986."
Glenn,01-8-27-13-04-0-1,438.0,15.0,Constituent Services,Constituent Correspondence,"Library of form letters for issue mail, numeric listing - # 1401-1500, prior to 1986."
Glenn,01-8-27-13-04-0-1,438.0,16.0,Constituent Services,Constituent Correspondence,"Library of form letters for issue mail, numeric listing - # 1501-1600, prior to 1986."
Glenn,01-8-27-13-04-0-1,438.0,17.0,Constituent Services,Constituent Correspondence,"Library of form letters for issue mail, numeric listing - # 1601-1700, prior to 1986."
Glenn,01-8-27-13-04-0-1,438.0,18.0,Constituent Services,Constituent Correspondence,"Library of form letters for issue mail, numeric listing - # 1701-1800, prior to 1986."
Glenn,01-8-27-11-03-0-1,439.0,1.0,Constituent Services,Constituent Correspondence,"Library of form letters for issue mail, numeric listing - # 1801-1900, prior to 1986."
Glenn,01-8-27-11-03-0-1,439.0,2.0,Constituent Services,Constituent Correspondence,"Library of form letters for issue mail, numeric listing - # 1901-1991, prior to 1986."
Glenn,01-8-27-11-03-0-1,439.0,3.0,Constituent Services,Constituent Correspondence,"Library of form letters for issue mail, letter library index, 1978-1986."
Glenn,01-8-27-11-03-0-1,439.0,4.0,Constituent Services,Constituent Correspondence,"Library of form letters for issue mail, unnumbered letters, circa 1986."
