Collectionq,Location,Box,Folder,Series,Subseries,Description
Glenn,01-7-31-12-04-0-1,544.0,1.0,Investigations,Glenn Defense Files,"JHG's Files - American Continental Corporation, correspondence, newspaper clippings, and miscellaneous materials received from, 1989.  CLOSED UNTIL JANUARY 1, 2017"
Glenn,01-7-31-12-04-0-1,544.0,2.0,Investigations,Glenn Defense Files,"JHG's Files - American Continental Corporation, correspondence, newspaper clippings, and miscellaneous materials received from, January - March 1990.  CLOSED UNTIL JANUARY 1, 2017"
Glenn,01-7-31-12-04-0-1,544.0,3.0,Investigations,Glenn Defense Files,"JHG's Files - American Continental Corporation, correspondence, newspaper clippings, and miscellaneous materials received from, April - June 1990.  CLOSED UNTIL JANUARY 1, 2017"
Glenn,01-7-31-12-04-0-1,544.0,4.0,Investigations,Glenn Defense Files,"JHG's Files - American Continental Corporation, lawsuit documents, part 1, 1989.  CLOSED UNTIL JANUARY 1, 2017"
Glenn,01-7-31-12-04-0-1,544.0,5.0,Investigations,Glenn Defense Files,"JHG's Files - American Continental Corporation, lawsuit documents, part 2, 1989.  CLOSED UNTIL JANUARY 1, 2017"
Glenn,01-7-31-12-04-0-1,544.0,6.0,Investigations,Glenn Defense Files,"JHG's Files - American Continental Corporation, lawsuit documents, part 3, 1989.  CLOSED UNTIL JANUARY 1, 2017"
Glenn,01-7-31-12-04-0-1,544.0,7.0,Investigations,Glenn Defense Files,"JHG's Files - American Continental Corporation, proposed sale of, 1989.  CLOSED UNTIL JANUARY 1, 2017"
Glenn,01-7-31-12-04-0-1,544.0,8.0,Investigations,Glenn Defense Files,"JHG's Files - American Continental Corporation/Lincoln Savings and Loan, correspondence with federal banking officials, January - May 1989.  CLOSED UNTIL JANUARY 1, 2017"
Glenn,01-7-31-12-04-0-1,544.0,9.0,Investigations,Glenn Defense Files,"JHG's Files - Arthur Young, correspondence, 1987-1989.  CLOSED UNTIL JANUARY 1, 2017"
Glenn,01-7-31-12-04-0-1,544.0,10.0,Investigations,Glenn Defense Files,"JHG's Files - Bennett, Robert T., letter of complaint against Glenn to the Senate Ethics Committee, September 25, 1989.  CLOSED UNTIL JANUARY 1, 2017"
Glenn,01-7-31-12-04-0-1,544.0,11.0,Investigations,Glenn Defense Files,"JHG's Files - Brinkley (David) Interview Preparation, November 1989.  CLOSED UNTIL JANUARY 1, 2017"
Glenn,01-7-31-12-04-0-1,544.0,12.0,Investigations,Glenn Defense Files,"JHG's Files - Campbell, Frank A.S., correspondence, 1990.  CLOSED UNTIL JANUARY 1, 2017"
Glenn,01-7-31-12-04-0-1,544.0,13.0,Investigations,Glenn Defense Files,"JHG's Files - Chronology and Notes, 1989 and no date.  CLOSED UNTIL JANUARY 1, 2017"
Glenn,01-7-31-12-04-0-1,544.0,14.0,Investigations,Glenn Defense Files,"JHG's Files - Common Cause, 1991.  CLOSED UNTIL JANUARY 1, 2017"
