Collectionq,Location,Box,Folder,Series,Subseries,Description
Pryce,01-7-36-07-05-0-1,29.0,1.0,Leadership,General Files,"Contract with America, general file, 1994."
Pryce,01-7-36-07-05-0-1,29.0,2.0,Leadership,General Files,"Contract with America, Planning and Learning Committee, 1993-1994."
Pryce,01-7-36-07-05-0-1,29.0,3.0,Leadership,General Files,"Family Quality of Life Advisory Committee, 1994-1996."
Pryce,01-7-36-07-05-0-1,29.0,4.0,Leadership,General Files,"House Operations and Finances Audit, 1995."
Pryce,01-7-36-07-05-0-1,29.0,5.0,Leadership,General Files,"Leadership Meeting, December 16-17, 2002."
Pryce,01-7-36-07-05-0-1,29.0,6.0,Leadership,General Files,"Leadership Retreat, December 17, 1997."
Pryce,01-7-36-07-05-0-1,29.0,7.0,Leadership,General Files,"Leadership Retreat, January 26, 1998."
Pryce,01-7-36-07-05-0-1,29.0,8.0,Leadership,General Files,"Leadership Retreat, March 24, 1998."
Pryce,01-7-36-07-05-0-1,29.0,9.0,Leadership,General Files,"Leadership Retreat, December 8, 1998."
Pryce,01-7-36-07-05-0-1,29.0,10.0,Leadership,General Files,"Leadership Retreat, January 5, 2000."
Pryce,01-7-36-07-05-0-1,29.0,11.0,Leadership,General Files,"Leadership Retreat, January 24-25, 2001."
Pryce,01-7-36-07-05-0-1,29.0,12.0,Leadership,General Files,"Leadership Retreat, January 29-31, 2002."
Pryce,01-7-36-07-05-0-1,29.0,13.0,Leadership,General Files,"Leadership Retreat, January 14-16, 2004."
Pryce,01-7-36-07-05-0-1,29.0,14.0,Leadership,General Files,"Leadership Retreat, November 30 - December 1, 2005."
Pryce,01-7-36-07-05-0-1,29.0,15.0,Leadership,General Files,"National Republican Congressional Committee, 1997."
Pryce,01-7-36-07-05-0-1,29.0,16.0,Leadership,General Files,"Republican National Committee, ""Women Who Win,"" 1993-1994."
Pryce,01-7-36-07-05-0-1,29.0,17.0,Leadership,General Files,"Republican House Policy Committee, 1999."
Pryce,01-7-36-07-05-0-1,29.0,18.0,Leadership,General Files,"Republican House Policy Committee, 108th Congress Report, 2004."
Pryce,01-7-36-07-05-0-1,29.0,19.0,Leadership,General Files,"Republican House Policy Committee, ""Pay As You Go and Government Spending"" report, 2007."
Pryce,01-7-36-07-05-0-1,29.0,20.0,Leadership,General Files,"Republican Woman, article by Deborah Pryce in, Winter 2003 issue."
Pryce,01-7-36-07-05-0-1,29.0,21.0,Leadership,General Files,"Tuesday Group, 1998-2001."
Pryce,01-7-36-07-05-0-1,29.0,22.0,Leadership,General Files,"Women and the Republican Party, 1994."
Pryce,01-7-36-07-05-0-1,29.0,23.0,Leadership,General Files,"Women and the Republican Party, 1996."
Pryce,01-7-36-07-05-0-1,29.0,24.0,Leadership,General Files,"Women and the Republican Party, 2008."
Pryce,01-7-36-07-05-0-1,29.0,25.0,Leadership,General Files,"Women Republican Government Affairs Network, 1995."
Pryce,01-7-36-07-05-0-1,29.0,26.0,Leadership,House Republican Conference,"Agendas and related documents, 2003."
Pryce,01-7-36-07-05-0-1,29.0,27.0,Leadership,House Republican Conference,"Border Security Workshop, July 2006."
Pryce,01-7-36-07-05-0-1,29.0,28.0,Leadership,House Republican Conference,"Budget Communications Working Group, ""Contract with America"" slide show, 1995."
Pryce,01-7-36-07-05-0-1,29.0,29.0,Leadership,House Republican Conference,"Budget Communications Working Group, ""Restoring the American Dream"" slide show, 1995."
Pryce,01-7-36-07-05-0-1,29.0,30.0,Leadership,House Republican Conference,"Budget Showdown, 1996."
Pryce,01-7-36-07-05-0-1,29.0,31.0,Leadership,House Republican Conference,"Chairmanship Races, 2002, 2004 and 2006."
Pryce,01-7-36-07-05-0-1,29.0,32.0,Leadership,House Republican Conference,"Communications Goals, 2002."
Pryce,01-7-36-07-05-0-1,29.0,33.0,Leadership,House Republican Conference,"Communications Goals, 2003."
Pryce,01-7-36-07-05-0-1,29.0,34.0,Leadership,House Republican Conference,"Communications Goals, 2004."
Pryce,01-7-36-07-05-0-1,29.0,35.0,Leadership,House Republican Conference,"Communications Working Group, 1998-1999."
Pryce,01-7-36-07-05-0-1,29.0,36.0,Leadership,House Republican Conference,"Conference Secretary Race, 1997."
Pryce,01-7-36-07-05-0-1,29.0,37.0,Leadership,House Republican Conference,"Corrections Day, 1995."
Pryce,01-7-36-07-05-0-1,29.0,38.0,Leadership,House Republican Conference,"Correspondence and related documents, 1997-1998."
Pryce,01-7-36-07-06-0-1,30.0,1.0,Leadership,House Republican Conference,"Correspondence and related documents, 1999-2000."
Pryce,01-7-36-07-06-0-1,30.0,2.0,Leadership,House Republican Conference,"Correspondence and related documents, 2001-2004."
Pryce,01-7-36-07-06-0-1,30.0,3.0,Leadership,House Republican Conference,"Deborah Pryce's interview with Glamour and Marie Claire magazines, 2004."
Pryce,01-7-36-07-06-0-1,30.0,4.0,Leadership,House Republican Conference,"District Director Fly-in Meeting, 2002."
Pryce,01-7-36-07-06-0-1,30.0,5.0,Leadership,House Republican Conference,"District Director Fly-in Meeting, 2003."
Pryce,01-7-36-07-06-0-1,30.0,6.0,Leadership,House Republican Conference,"District Director Fly-in Meeting, 2004."
Pryce,01-7-36-07-06-0-1,30.0,7.0,Leadership,House Republican Conference,"District Director Fly-in Meeting, 2005."
Pryce,01-7-36-07-06-0-1,30.0,8.0,Leadership,House Republican Conference,"District Director Fly-in Meeting, 2006."
Pryce,01-7-36-07-06-0-1,30.0,9.0,Leadership,House Republican Conference,"""Family Photo Album,"" 1992."
Pryce,01-7-36-07-06-0-1,30.0,10.0,Leadership,House Republican Conference,"Magazine article ""What Went Wrong Here?"" Congressional Quarterly Weekly, October 3, 2005."
Pryce,01-7-36-07-06-0-1,30.0,11.0,Leadership,House Republican Conference,"Marketing Plan, 2002."
Pryce,01-7-36-07-06-0-1,30.0,12.0,Leadership,House Republican Conference,"Marketing Plan for 2003-2004, January 15, 2003 draft."
Pryce,01-7-36-07-06-0-1,30.0,13.0,Leadership,House Republican Conference,"Marketing Plan for 2003-2004, January 27, 2003 draft."
Pryce,01-7-36-07-06-0-1,30.0,14.0,Leadership,House Republican Conference,"Oversight Working Group, 2000."
Pryce,01-7-36-07-06-0-1,30.0,15.0,Leadership,House Republican Conference,"Outreach Coordinator Fly-in Meeting, 2003."
Pryce,01-7-36-07-06-0-1,30.0,16.0,Leadership,House Republican Conference,"Outreach Director Fly-in Meeting, 2005."
Pryce,01-7-36-07-06-0-1,30.0,17.0,Leadership,House Republican Conference,"President's Task Force on Puerto Rico's Status report, December 2005."
Pryce,01-7-36-07-06-0-1,30.0,18.0,Leadership,House Republican Conference,"Presidential Inauguration, 2001."
Pryce,01-7-36-07-06-0-1,30.0,19.0,Leadership,House Republican Conference,"Press Office, email messages (printed copies), January - February 2003."
Pryce,01-7-36-07-06-0-1,30.0,20.0,Leadership,House Republican Conference,"Press Office, email messages (printed copies), October - December 2005."
Pryce,01-7-36-07-06-0-1,30.0,21.0,Leadership,House Republican Conference,"Press Office, email messages (printed copies), January 2006."
Pryce,01-7-36-07-06-0-1,30.0,22.0,Leadership,House Republican Conference,"Press Office, email messages (printed copies), February 2006."
Pryce,01-7-36-07-06-0-1,30.0,23.0,Leadership,House Republican Conference,"Press Office, email messages (printed copies), March 2006."
Pryce,01-7-36-07-06-0-1,30.0,24.0,Leadership,House Republican Conference,"Press Office, email messages (printed copies), April 2006."
Pryce,01-7-36-07-07-0-1,31.0,1.0,Leadership,House Republican Conference,"Press Office, email messages (printed copies), May 1-14, 2006."
Pryce,01-7-36-07-07-0-1,31.0,2.0,Leadership,House Republican Conference,"Press Office, email messages (printed copies), May 15-31, 2006."
Pryce,01-7-36-07-07-0-1,31.0,3.0,Leadership,House Republican Conference,"Press Office, email messages (printed copies), June 2006."
Pryce,01-7-36-07-07-0-1,31.0,4.0,Leadership,House Republican Conference,"Press Office, email messages (printed copies), July 2006."
Pryce,01-7-36-07-07-0-1,31.0,5.0,Leadership,House Republican Conference,"Press Office, email messages (printed copies), August 2006."
Pryce,01-7-36-07-07-0-1,31.0,6.0,Leadership,House Republican Conference,"Press Office, email messages (printed copies), September 2006."
Pryce,01-7-36-07-07-0-1,31.0,7.0,Leadership,House Republican Conference,"Press Office, email messages (printed copies), October 1-19, 2006."
Pryce,01-7-36-07-07-0-1,31.0,8.0,Leadership,House Republican Conference,"Press Office, email messages (printed copies), October 20-31, 2006."
Pryce,01-7-36-07-07-0-1,31.0,9.0,Leadership,House Republican Conference,"Press Office, email messages (printed copies), November 2006."
Pryce,01-7-36-07-07-0-1,31.0,10.0,Leadership,House Republican Conference,"Press Office, floor briefings, April 2006."
Pryce,01-7-36-07-07-0-1,31.0,11.0,Leadership,House Republican Conference,"Press Office, floor briefings, May 2006."
Pryce,01-7-36-07-07-0-1,31.0,12.0,Leadership,House Republican Conference,"Press Office, floor briefings, July 2006."
Pryce,01-7-36-07-07-0-1,31.0,13.0,Leadership,House Republican Conference,"Press Office, Floor Debate Packet, Labor, Health and Human Service, and Education Appropriations for FY04, H.R. 2657, July 2003."
Pryce,01-7-36-07-07-0-1,31.0,14.0,Leadership,House Republican Conference,"Press Office, Floor Debate Packet, National Defense Authorization Act for FY07, H.R. 5122, May 2006."
Pryce,01-7-36-07-07-0-1,31.0,15.0,Leadership,House Republican Conference,"Press Office, ""Drum Beat"" newsletter, 2005-2006."
Pryce,01-7-36-07-07-0-1,31.0,16.0,Leadership,House Republican Conference,"Press Secretary Planning Seminar, August 2004."
Pryce,01-7-36-07-07-0-1,31.0,17.0,Leadership,House Republican Conference,"Press Secretary Workshop, 2002."
Pryce,01-7-36-07-07-0-1,31.0,18.0,Leadership,House Republican Conference,"Press Secretary Workshop, February 11, 2005."
Pryce,01-7-36-07-07-0-1,31.0,19.0,Leadership,House Republican Conference,"Press Secretary's Guide, 109th Congress, 2nd Session, 2006."
Pryce,01-7-36-07-07-0-1,31.0,20.0,Leadership,House Republican Conference,"Press Secretary's Handbook, 110th Congress, March 2007."
Pryce,01-7-36-07-07-0-1,31.0,21.0,Leadership,House Republican Conference,"Products and Services, 2004."
Pryce,01-7-36-08-01-0-1,32.0,1.0,Leadership,House Republican Conference,"Reports, ""A Look at the First 100 Days of the Republican House of Representatives,"" 1995."
Pryce,01-7-36-08-01-0-1,32.0,2.0,Leadership,House Republican Conference,"Reports, ""Republican Responses: Answers to Questions About the Contract With America and Other Issues Members Will Face During the April Recess,"" April 4, 1995."
Pryce,01-7-36-08-01-0-1,32.0,3.0,Leadership,House Republican Conference,"Reports, ""Grass-roots Success Stories,"" June 1997."
Pryce,01-7-36-08-01-0-1,32.0,4.0,Leadership,House Republican Conference,"Reports, ""Biennial Report of Conference Products and Services, 105th Congress,"" 1998."
Pryce,01-7-36-08-01-0-1,32.0,5.0,Leadership,House Republican Conference,"Reports, ""The Republican Majority Five Year Progress Report: Securing America's Future,"" 2000."
Pryce,01-7-36-08-01-0-1,32.0,6.0,Leadership,House Republican Conference,"Reports, ""What the Medicare Modernization Act Means for Minority and Low-Income Beneficiaries,"" (prescription drug plan) 2003."
Pryce,01-7-36-08-01-0-1,32.0,7.0,Leadership,House Republican Conference,"Reports, ""The Veterans History Project,"" May 2004."
Pryce,01-7-36-08-01-0-1,32.0,8.0,Leadership,House Republican Conference,"Reports, ""Remembering Ronald Reagan,"" June 2004."
Pryce,01-7-36-08-01-0-1,32.0,9.0,Leadership,House Republican Conference,"Reports, ""Ten Years of a Republican House: A Review of what House Republicans have accomplished on behalf of the American people,"" September 2004."
Pryce,01-7-36-08-01-0-1,32.0,10.0,Leadership,House Republican Conference,"Reports, ""Investing in America's Future, report of the Department of the Treasury on the economic effects of cutting dividend and capital gains taxes in 2003,"" March 2006."
Pryce,01-7-36-08-01-0-1,32.0,11.0,Leadership,House Republican Conference,"Reports, ""A Fighting, Forward-looking Party: A History of the Republican Conference of the U.S. House of Representatives,"" June 2008 draft."
Pryce,01-7-36-08-01-0-1,32.0,12.0,Leadership,House Republican Conference,"Reports, ""A Fighting, Forward-looking Party: A History of the Republican Conference of the U.S. House of Representatives,"" October 2008."
Pryce,01-7-36-08-01-0-1,32.0,13.0,Leadership,House Republican Conference,"Republican Accomplishments, 104th Congress, 1995-1996."
Pryce,01-7-36-08-01-0-1,32.0,14.0,Leadership,House Republican Conference,"Republican Accomplishments, 107th Congress, 2001-2002."
Pryce,01-7-36-08-01-0-1,32.0,15.0,Leadership,House Republican Conference,"Republican Accomplishments, 108th Congress, 2003-2004."
Pryce,01-7-36-08-01-0-1,32.0,16.0,Leadership,House Republican Conference,"Republican Accomplishments, 109th Congress, 2005-2006."
Pryce,01-7-36-08-01-0-1,32.0,17.0,Leadership,House Republican Conference,"Republican Women in Congress lunch, 2004."
Pryce,01-7-36-08-01-0-1,32.0,18.0,Leadership,House Republican Conference,"Resource Kit, Easter District Work Period, March 1994."
Pryce,01-7-36-08-01-0-1,32.0,19.0,Leadership,House Republican Conference,"Resource Kit, Adjournment, 1996."
Pryce,01-7-36-08-01-0-1,32.0,20.0,Leadership,House Republican Conference,"Resource Kit, April District Work Period, 2003."
Pryce,01-7-36-08-01-0-1,32.0,21.0,Leadership,House Republican Conference,"Resource Kit, November Recess, 2003."
Pryce,01-7-36-08-01-0-1,32.0,22.0,Leadership,House Republican Conference,"Resource Kit, Black History Month, 2004."
Pryce,01-7-36-08-01-0-1,32.0,23.0,Leadership,House Republican Conference,"Resource Kit, Spring Recess, April 2004."
Pryce,01-7-36-08-01-0-1,32.0,24.0,Leadership,House Republican Conference,"Resource Kit, Memorial Day Recess, May 2004."
Pryce,01-7-36-08-01-0-1,32.0,25.0,Leadership,House Republican Conference,"Resource Kit, No Child Left Behind Week, May 2004."
Pryce,01-7-36-08-01-0-1,32.0,26.0,Leadership,House Republican Conference,"Resource Kit, Iraq Fact Sheet, July 2004."
Pryce,01-7-36-08-01-0-1,32.0,27.0,Leadership,House Republican Conference,"Resource Kit, Adjournment, October 2004."
Pryce,01-7-36-08-01-0-1,32.0,28.0,Leadership,House Republican Conference,"Resource Kit, Saving Social Security, January 2005."
Pryce,01-7-36-08-01-0-1,32.0,29.0,Leadership,House Republican Conference,"Resource Kit, District Work Period, August 2005."
Pryce,01-7-36-08-01-0-1,32.0,30.0,Leadership,House Republican Conference,"Resource Kit, District Work Period, December 2005."
Pryce,01-7-36-08-01-0-1,32.0,31.0,Leadership,House Republican Conference,"Resource Kit, District Work Period addendum, December 2005."
Pryce,01-7-36-08-01-0-1,32.0,32.0,Leadership,House Republican Conference,"Resource Kit, Medicare and Medicaid Briefing Materials, January 2006."
Pryce,01-7-36-08-01-0-1,32.0,33.0,Leadership,House Republican Conference,"Resource Kit, Iraq Update, March 2006."
Pryce,01-7-36-08-02-0-1,33.0,1.0,Leadership,House Republican Conference,"Resource Kit, President's Day District Work Period, February 2006."
Pryce,01-7-36-08-02-0-1,33.0,2.0,Leadership,House Republican Conference,"Resource Kit, St. Patrick's Day District Work Period, March 2006."
Pryce,01-7-36-08-02-0-1,33.0,3.0,Leadership,House Republican Conference,"Resource Kit, Spring District Work Period, April 2006."
Pryce,01-7-36-08-02-0-1,33.0,4.0,Leadership,House Republican Conference,"Resource Kit, Energy Handbook, May 2006."
Pryce,01-7-36-08-02-0-1,33.0,5.0,Leadership,House Republican Conference,"Resource Kit, Tax Day Relief Packet, May 2006."
Pryce,01-7-36-08-02-0-1,33.0,6.0,Leadership,House Republican Conference,"Resource Kit, Memorial Day District Work Period, May 2006."
Pryce,01-7-36-08-02-0-1,33.0,7.0,Leadership,House Republican Conference,"Resource Kit, Independence Day District Work Period, July 2006."
Pryce,01-7-36-08-02-0-1,33.0,8.0,Leadership,House Republican Conference,"Resource Kit, Franked Mail Booklet, July 2006."
Pryce,01-7-36-08-02-0-1,33.0,9.0,Leadership,House Republican Conference,"Resource Kit, District Work Period, August 2006."
Pryce,01-7-36-08-02-0-1,33.0,10.0,Leadership,House Republican Conference,"Resource Kit, April Recess, 2007."
Pryce,01-7-36-08-02-0-1,33.0,11.0,Leadership,House Republican Conference,"Retreats, Bicameral Republican Members Retreat, February 8-11, 1998."
Pryce,01-7-36-08-02-0-1,33.0,12.0,Leadership,House Republican Conference,"Retreats, Bicameral Republican Members Retreat, February 4-6, 1999."
Pryce,01-7-36-08-02-0-1,33.0,13.0,Leadership,House Republican Conference,"Retreats, Bicameral Republican Members Retreat, February 3-5, 2000."
Pryce,01-7-36-08-02-0-1,33.0,14.0,Leadership,House Republican Conference,"Retreats, Bicameral Republican Members Retreat, February 1-3, 2001."
Pryce,01-7-36-08-02-0-1,33.0,15.0,Leadership,House Republican Conference,"Retreats, Bicameral Republican Members Retreat, January 30 - February 1, 2002."
Pryce,01-7-36-08-02-0-1,33.0,16.0,Leadership,House Republican Conference,"Retreats, Bicameral Republican Members Retreat, Planning Committee, 2003."
Pryce,01-7-36-08-02-0-1,33.0,17.0,Leadership,House Republican Conference,"Retreats, Bicameral Republican Members Retreat, February 6-9, 2003."
Pryce,01-7-36-08-02-0-1,33.0,18.0,Leadership,House Republican Conference,"Retreats, Bicameral Republican Members Retreat, part 1, January 29-31, 2004"
Pryce,01-7-36-08-02-0-1,33.0,19.0,Leadership,House Republican Conference,"Retreats, Bicameral Republican Members Retreat, part 2, January 29-31, 2004"
Pryce,01-7-36-08-02-0-1,33.0,20.0,Leadership,House Republican Conference,"Retreats, Bicameral Leadership Retreat, November 29 - December 2, 2004."
Pryce,01-7-36-08-02-0-1,33.0,21.0,Leadership,House Republican Conference,"Retreats, Bicameral Republican Members Retreat, January 27-30, 2005."
Pryce,01-7-36-08-02-0-1,33.0,22.0,Leadership,House Republican Conference,"Retreats, Bicameral Republican Members Retreat, February 9-11, 2006."
