Collectionq,Location,Box,Folder,Series,Subseries,Description
Glenn,01-7-23-20-05-0-1,170.0,1.0,Legislative,Briefing Books,"Steel Caucus, October 30, 1981."
Glenn,01-7-23-20-05-0-1,170.0,2.0,Legislative,Briefing Books,"Intersession Briefing Book (compiled by the Democratic Policy Commission), December 15, 1981."
Glenn,01-7-23-20-05-0-1,170.0,3.0,Legislative,Briefing Books,"Domestic Policy, January 20, 1982."
Glenn,01-7-23-20-05-0-1,170.0,4.0,Legislative,Briefing Books,"Domestic and Foreign Policy, February 19, 1982."
Glenn,01-7-23-20-05-0-1,170.0,5.0,Legislative,Briefing Books,"Domestic and Foreign Policy, March 1, 1982."
Glenn,01-7-23-20-05-0-1,170.0,6.0,Legislative,Briefing Books,"Domestic and Foreign Policy, March 8, 1982."
Glenn,01-7-23-20-05-0-1,170.0,7.0,Legislative,Briefing Books,"Domestic and Foreign Policy, March 15, 1982."
Glenn,01-7-23-20-05-0-1,170.0,8.0,Legislative,Briefing Books,"Domestic and Foreign Policy, March 22, 1982."
Glenn,01-7-23-20-05-0-1,170.0,9.0,Legislative,Briefing Books,"Domestic and Foreign Policy, March 29, 1982."
Glenn,01-7-23-20-05-0-1,170.0,10.0,Legislative,Briefing Books,"Domestic and Foreign Policy, April 12, 1982."
Glenn,01-7-23-20-05-0-1,170.0,11.0,Legislative,Briefing Books,"Domestic and Foreign Policy, April 19, 1982."
Glenn,01-7-23-20-05-0-1,170.0,12.0,Legislative,Briefing Books,"Domestic and Foreign Policy, April 26, 1982."
Glenn,01-7-23-20-05-0-1,170.0,13.0,Legislative,Briefing Books,"Domestic and Foreign Policy, May 3 and 10, 1982."
Glenn,01-7-23-20-05-0-1,170.0,14.0,Legislative,Briefing Books,"Domestic and Foreign Policy, May 17, 1982."
Glenn,01-7-23-20-05-0-1,170.0,15.0,Legislative,Briefing Books,"Domestic and Foreign Policy, May 24, 1982."
Glenn,01-7-23-20-05-0-1,170.0,16.0,Legislative,Briefing Books,"Domestic and Foreign Policy, May 31 and June 7, 1982."
Glenn,01-7-23-20-05-0-1,170.0,17.0,Legislative,Briefing Books,"Domestic and Foreign Policy, June 14, 1982."
Glenn,01-7-23-20-05-0-1,170.0,18.0,Legislative,Briefing Books,"Domestic and Foreign Policy, June 21, 1982."
Glenn,01-7-23-20-05-0-1,170.0,19.0,Legislative,Briefing Books,"Domestic Policy, July 1, 1982 (volume 1)."
Glenn,01-7-23-20-05-0-1,170.0,20.0,Legislative,Briefing Books,"Domestic Policy, July 1, 1982 (volume 2)."
Glenn,01-7-23-20-05-0-1,170.0,21.0,Legislative,Briefing Books,"Domestic and Foreign Policy, July 5 and 12, 1982."
Glenn,01-7-23-20-05-0-1,170.0,22.0,Legislative,Briefing Books,"Domestic and Foreign Policy, July 19, 1982."
Glenn,01-7-23-20-05-0-1,170.0,23.0,Legislative,Briefing Books,"Domestic and Foreign Policy, July 26, 1982."
Glenn,01-7-24-17-08-0-1,171.0,1.0,Legislative,Briefing Books,"Domestic and Foreign Policy, August 2, 1982."
Glenn,01-7-24-17-08-0-1,171.0,2.0,Legislative,Briefing Books,"Domestic and Foreign Policy, August 9, 1982."
Glenn,01-7-24-17-08-0-1,171.0,3.0,Legislative,Briefing Books,"Domestic and Foreign Policy, August 16, 1982."
Glenn,01-7-24-17-08-0-1,171.0,4.0,Legislative,Briefing Books,"Domestic and Foreign Policy, August 23, 1982."
Glenn,01-7-24-17-08-0-1,171.0,5.0,Legislative,Briefing Books,"Domestic and Foreign Policy, September 13, 1982."
Glenn,01-7-24-17-08-0-1,171.0,6.0,Legislative,Briefing Books,"Domestic and Foreign Policy, September 20, 1982."
Glenn,01-7-24-17-08-0-1,171.0,7.0,Legislative,Briefing Books,"Domestic and Foreign Policy, September 27, 1982."
Glenn,01-7-24-17-08-0-1,171.0,8.0,Legislative,Briefing Books,"Domestic and Foreign Policy, November 23, 1982."
Glenn,01-7-24-17-08-0-1,171.0,9.0,Legislative,Briefing Books,"Fair Tax Act of 1983, no date."
Glenn,01-7-24-17-08-0-1,171.0,10.0,Legislative,Briefing Books,"Foreign Affairs and Defense Issues, April 7, 1983."
Glenn,01-7-24-17-08-0-1,171.0,11.0,Legislative,Briefing Books,"Domestic and Foreign Policy, no date, circa January 1985."
Glenn,01-7-24-17-08-0-1,171.0,12.0,Legislative,Briefing Books,"Press Conferences, Ohio, February 8, 1985."
Glenn,01-7-24-17-08-0-1,171.0,13.0,Legislative,Briefing Books,"Domestic and Foreign Policy, September 13, 1985."
Glenn,01-7-24-17-08-0-1,171.0,14.0,Legislative,Briefing Books,"Domestic and Foreign Policy, November 15, 1985."
Glenn,01-7-24-17-08-0-1,171.0,15.0,Legislative,Briefing Books,"Domestic and Foreign Policy, December 13, 1985."
Glenn,01-7-24-17-08-0-1,171.0,16.0,Legislative,Briefing Books,"Domestic and Foreign Policy, January 15, 1986."
Glenn,01-7-24-17-08-0-1,171.0,17.0,Legislative,Briefing Books,"Domestic and Foreign Policy, February 7, 1986."
Glenn,01-7-24-17-08-0-1,171.0,18.0,Legislative,Briefing Books,"Domestic and Foreign Policy, February 18, 1986."
Glenn,01-7-24-17-08-0-1,171.0,19.0,Legislative,Briefing Books,"Domestic and Foreign Policy, March 5, 1986."
Glenn,01-7-24-17-08-0-1,171.0,20.0,Legislative,Briefing Books,"Domestic and Foreign Policy, March 19, 1986."
Glenn,01-7-24-17-08-0-1,171.0,21.0,Legislative,Briefing Books,"Domestic and Foreign Policy, April 18, 1986."
Glenn,01-7-24-17-08-0-1,171.0,22.0,Legislative,Briefing Books,"Domestic and Foreign Policy, May 21, 1986."
Glenn,01-7-24-17-08-0-1,171.0,23.0,Legislative,Briefing Books,"Domestic and Foreign Policy, June 27, 1986."
Glenn,01-7-24-17-08-0-1,171.0,24.0,Legislative,Briefing Books,"Domestic and Foreign Policy, August 15, 1986."
Glenn,01-7-24-17-08-0-1,171.0,25.0,Legislative,Briefing Books,"State of the Union, January 27, 1987."
Glenn,01-7-24-17-08-0-1,171.0,26.0,Legislative,Briefing Books,"Domestic and Foreign Policy, June 15, 1987."
