Collectionq,Location,Box,Folder,Series,Subseries,Description
Regula,01-7-33-08-06-0-1,97.0,1.0,"Martin Luther King, Jr. Federal Holiday Commission","Martin Luther King, Jr. Federal Holiday Commission","By-laws and Founding Legislation, 1980s-1990s."
Regula,01-7-33-08-06-0-1,97.0,2.0,"Martin Luther King, Jr. Federal Holiday Commission","Martin Luther King, Jr. Federal Holiday Commission","Budget Appropriations for FY96, 1995-1996."
Regula,01-7-33-08-06-0-1,97.0,3.0,"Martin Luther King, Jr. Federal Holiday Commission","Martin Luther King, Jr. Federal Holiday Commission","Chronology, History and Publications, 1990s."
Regula,01-7-33-08-06-0-1,97.0,4.0,"Martin Luther King, Jr. Federal Holiday Commission","Martin Luther King, Jr. Federal Holiday Commission","Correspondence, 1993-1997."
Regula,01-7-33-08-06-0-1,97.0,5.0,"Martin Luther King, Jr. Federal Holiday Commission","Martin Luther King, Jr. Federal Holiday Commission","Financial Audit Reports, 1994-1996."
Regula,01-7-33-08-06-0-1,97.0,6.0,"Martin Luther King, Jr. Federal Holiday Commission","Martin Luther King, Jr. Federal Holiday Commission","King Center Correspondence, 1994-1995."
Regula,01-7-33-08-06-0-1,97.0,7.0,"Martin Luther King, Jr. Federal Holiday Commission","Martin Luther King, Jr. Federal Holiday Commission","King Holiday and Service Act of 1994, H.R. 1993."
Regula,01-7-33-08-06-0-1,97.0,8.0,"Martin Luther King, Jr. Federal Holiday Commission","Martin Luther King, Jr. Federal Holiday Commission","Legislative Task Force, 1995."
Regula,01-7-33-08-06-0-1,97.0,9.0,"Martin Luther King, Jr. Federal Holiday Commission","Martin Luther King, Jr. Federal Holiday Commission","Newspaper Clippings, 1994-1997."
Regula,01-7-33-08-06-0-1,97.0,10.0,"Martin Luther King, Jr. Federal Holiday Commission","Martin Luther King, Jr. Federal Holiday Commission","Operations Committee, 1993-1995."
Regula,01-7-33-08-06-0-1,97.0,11.0,"Martin Luther King, Jr. Federal Holiday Commission","Martin Luther King, Jr. Federal Holiday Commission","Speeches by RR, circa 1990-1998."
