Collectionq,Location,Box,Folder,Series,Subseries,Description
Glenn,01-8-39-19-08-0-1,31.0,5.0,Office Administration,Domestic Trip Files,"April 1995:
Recess Trip to Ohio, proposed meetings."
Glenn,01-7-31-10-04-0-1,149.0,22.0,Office Administration,Senate Campaign Files,"1980 Senate Campaign - Political Files - Speech files, Re-election campaign announcement speech, circa April 1980."
Glenn,01-7-32-04-04-0-1,540.0,1.0,Office Administration,Office Administration,"Columbus (Office) Casework Categories, 1986."
Glenn,01-7-32-04-04-0-1,540.0,2.0,Office Administration,Office Administration,"Complaints (constituent), 1977-1983."
Glenn,01-7-32-04-04-0-1,540.0,3.0,Office Administration,Office Administration,"Congressional Management Foundation Guidebook, 1987."
Glenn,01-7-32-04-04-0-1,540.0,4.0,Office Administration,Office Administration,"Congressional Research Service Reports (on congressional office management topics), 1986-1994."
Glenn,01-7-32-04-04-0-1,540.0,5.0,Office Administration,Office Administration,"Employee Classifications, 1996."
Glenn,01-7-32-04-04-0-1,540.0,6.0,Office Administration,Office Administration,"Fair Employment Practices, 1992-1993."
Glenn,01-7-32-04-04-0-1,540.0,7.0,Office Administration,Office Administration,"Form Letters, invitations, 1975."
Glenn,01-7-32-04-04-0-1,540.0,8.0,Office Administration,Office Administration,"Interns, 1975-1983."
Glenn,01-7-32-04-04-0-1,540.0,9.0,Office Administration,Office Administration,"Interns, 1984 and 1989."
Glenn,01-7-32-04-04-0-1,540.0,10.0,Office Administration,Office Administration,"Interns, 1991-1993."
Glenn,01-7-32-04-04-0-1,540.0,11.0,Office Administration,Office Administration,"Inter-Office Memoranda, 1978-1982."
Glenn,01-7-32-04-04-0-1,540.0,12.0,Office Administration,Office Administration,"Inter-Office Memoranda, 1983-1984."
Glenn,01-7-32-04-04-0-1,540.0,13.0,Office Administration,Office Administration,"Inter-Office Memoranda, 1985."
Glenn,01-7-32-04-04-0-1,540.0,14.0,Office Administration,Office Administration,"Inter-Office Memoranda, 1986."
Glenn,01-7-32-04-04-0-1,540.0,15.0,Office Administration,Office Administration,"Inter-Office Memoranda, 1987."
Glenn,01-7-32-04-04-0-1,540.0,16.0,Office Administration,Office Administration,"Inter-Office Memoranda, 1988."
Glenn,01-7-32-04-04-0-1,540.0,17.0,Office Administration,Office Administration,"Inter-Office Memoranda, 1989."
