Collectionq,Location,Box,Folder,Series,Subseries,Description
Pryce,01-7-36-13-08-0-1,63.0,10.0,Organizations,Organizations,"John F. Kennedy Center for the Performing Arts, 2002."
Pryce,01-7-36-13-08-0-1,63.0,11.0,Organizations,Organizations,"John F. Kennedy Center for the Performing Arts, 2003."
Pryce,01-7-36-13-08-0-1,63.0,12.0,Organizations,Organizations,"John F. Kennedy Center for the Performing Arts, 2004."
Pryce,01-7-36-13-08-0-1,63.0,13.0,Organizations,Organizations,"John F. Kennedy Center for the Performing Arts, 2005."
Pryce,01-7-36-13-08-0-1,63.0,14.0,Organizations,Organizations,"John F. Kennedy Center for the Performing Arts, 2006."
Pryce,01-7-36-13-08-0-1,63.0,15.0,Organizations,Organizations,"John F. Kennedy Center for the Performing Arts, 2007."
Pryce,01-7-36-13-08-0-1,63.0,16.0,Organizations,Organizations,"John F. Kennedy Center for the Performing Arts, 2008."
Pryce,01-7-36-13-08-0-1,63.0,17.0,Organizations,Organizations,"National Fund for the U.S. Botanic Garden, board meeting, May 1993."
Pryce,01-7-36-13-08-0-1,63.0,18.0,Organizations,Organizations,"National Fund for the U.S. Botanic Garden, board meeting, October 1993."
Pryce,01-7-36-13-08-0-1,63.0,19.0,Organizations,Organizations,"National Fund for the U.S. Botanic Garden, board meeting, June and October 1994."
Pryce,01-7-36-13-08-0-1,63.0,20.0,Organizations,Organizations,"National Fund for the U.S. Botanic Garden, National Garden Gala, May 11, 1994."
Pryce,01-7-36-13-08-0-1,63.0,21.0,Organizations,Organizations,"National Fund for the U.S. Botanic Garden, U.S. Botanic Garden Commemorative Coin Act, 1995."
Pryce,01-7-36-13-08-0-1,63.0,22.0,Organizations,Organizations,"National Fund for the U.S. Botanic Garden, board meeting, May and October 1995."
Pryce,01-7-36-13-08-0-1,63.0,23.0,Organizations,Organizations,"National Fund for the U.S. Botanic Garden, general file, 1995."
Pryce,01-7-36-13-08-0-1,63.0,24.0,Organizations,Organizations,"National Fund for the U.S. Botanic Garden, board meeting, June 1996."
Pryce,01-7-36-13-08-0-1,63.0,25.0,Organizations,Organizations,"National Fund for the U.S. Botanic Garden, board meeting, June 1998."
Pryce,01-7-36-13-08-0-1,63.0,26.0,Organizations,Organizations,"National Fund for the U.S. Botanic Garden, board meeting, December 1998."
Pryce,01-7-36-13-08-0-1,63.0,27.0,Organizations,Organizations,"National Fund for the U.S. Botanic Garden, board meeting, February 1999."
Pryce,01-7-36-13-08-0-1,63.0,28.0,Organizations,Organizations,"National Fund for the U.S. Botanic Garden, board meeting, November 1999."
Pryce,01-7-36-13-08-0-1,63.0,29.0,Organizations,Organizations,"National Fund for the U.S. Botanic Garden, general file, 2000-2001."
Pryce,01-7-36-13-08-0-1,63.0,30.0,Organizations,Organizations,"National Fund for the U.S. Botanic Garden, board meeting, June 2002."
Pryce,01-7-36-13-08-0-1,63.0,31.0,Organizations,Organizations,"National Fund for the U.S. Botanic Garden, board meeting, December 2002."
Pryce,01-7-36-13-08-0-1,63.0,32.0,Organizations,Organizations,"National Fund for the U.S. Botanic Garden, general file, 2003-2007."
