Collectionq,Location,Box,Folder,Series,Subseries,Description
Glenn,01-7-23-20-01-0-1,1.0,1.0,Personal/Political,Administrative Assistants,"William R. White - Memoranda - received, 1977."
Glenn,01-7-23-20-01-0-1,1.0,2.0,Personal/Political,Administrative Assistant,"William R. White - Memoranda - received, January - June 1978."
Glenn,01-7-23-20-01-0-1,1.0,3.0,Personal/Political,Administrative Assistant,"William R. White - Memoranda - received, July - December 1978."
Glenn,01-7-23-20-01-0-1,1.0,4.0,Personal/Political,Administrative Assistant,"William R. White - Memoranda - received, 1979."
Glenn,01-7-23-20-01-0-1,1.0,5.0,Personal/Political,Administrative Assistant,"William R. White - Memoranda - received, 1980."
Glenn,01-7-23-20-01-0-1,1.0,6.0,Personal/Political,Administrative Assistant,"William R. White - Memoranda - received, 1981."
Glenn,01-7-23-20-01-0-1,1.0,7.0,Personal/Political,Administrative Assistant,"William R. White - Memoranda - received, January - March 1982."
Glenn,01-7-23-20-01-0-1,1.0,8.0,Personal/Political,Administrative Assistant,"William R. White - Memoranda - received, April - December 1982."
Glenn,01-7-23-20-01-0-1,1.0,9.0,Personal/Political,Administrative Assistant,"William R. White - Memoranda - received from the Press Department, 1976-1979."
Glenn,01-7-23-20-01-0-1,1.0,10.0,Personal/Political,Administrative Assistant,"William R. White - Memoranda - to JHG, 1976."
Glenn,01-7-23-20-01-0-1,1.0,11.0,Personal/Political,Administrative Assistant,"William R. White - Memoranda - to JHG, 1977."
Glenn,01-7-23-20-01-0-1,1.0,12.0,Personal/Political,Administrative Assistant,"William R. White - Memoranda - to JHG, 1978."
Glenn,01-7-23-20-01-0-1,1.0,13.0,Personal/Political,Administrative Assistant,"William R. White - Memoranda - to JHG, 1979."
Glenn,01-7-23-20-01-0-1,1.0,14.0,Personal/Political,Administrative Assistant,"William R. White - Memoranda - to JHG, 1980."
Glenn,01-7-23-20-01-0-1,1.0,15.0,Personal/Political,Administrative Assistant,"William R. White - Memoranda - to JHG, 1981."
Glenn,01-7-23-20-01-0-1,1.0,16.0,Personal/Political,Administrative Assistant,"William R. White - Memoranda - to JHG, 1982."
Glenn,01-7-23-20-01-0-1,1.0,17.0,Personal/Political,Administrative Assistant,"William R. White - Memoranda - to JHG, undated."
Glenn,01-7-23-20-01-0-1,1.0,18.0,Personal/Political,Administrative Assistant,"William R. White - Memoranda - on legislative matters, 1976-1977."
Glenn,01-7-23-20-01-0-1,1.0,19.0,Personal/Political,Administrative Assistant,"William R. White - Memoranda - on legislative matters, January - June 1978."
Glenn,01-7-23-20-01-0-1,1.0,20.0,Personal/Political,Administrative Assistant,"William R. White - Memoranda - on legislative matters, July - August 1978."
Glenn,01-7-23-20-01-0-1,1.0,21.0,Personal/Political,Administrative Assistant,"William R. White - Memoranda - on legislative matters, September - December 1978."
Glenn,01-7-23-20-01-0-1,1.0,22.0,Personal/Political,Administrative Assistant,"William R. White - Memoranda - on legislative matters, 1979."
Glenn,01-7-23-20-01-0-1,1.0,23.0,Personal/Political,Administrative Assistant,"William R. White - Memoranda - on legislative matters, 1980-1982."
Glenn,01-8-38-04-06-0-1,2.0,1.0,Personal/Political,Administrative Assistant,"William R. White - Legislation Files - abortion, 1976-1979."
Glenn,01-8-38-04-06-0-1,2.0,2.0,Personal/Political,Administrative Assistant,"William R. White - Legislation Files - appropriations, 1976-1979."
Glenn,01-8-38-04-06-0-1,2.0,3.0,Personal/Political,Administrative Assistant,"William R. White - Legislation Files - armed services ( B-1; F-14; and the F-18 aircraft and neutron bomb), 1975- 1978."
Glenn,01-8-38-04-06-0-1,2.0,4.0,Personal/Political,Administrative Assistant,"William R. White - Legislation Files - arson, 1978-1981."
Glenn,01-8-38-04-06-0-1,2.0,5.0,Personal/Political,Administrative Assistant,"William R. White - Legislation Files - banking, housing, and urban affairs, 1975-1978."
Glenn,01-8-38-04-06-0-1,2.0,6.0,Personal/Political,Administrative Assistant,"William R. White - Legislation Files - Black Lung Benefit Program, 1976-1977."
Glenn,01-8-38-04-06-0-1,2.0,7.0,Personal/Political,Administrative Assistant,"William R. White - Legislation Files - civil rights, 1978."
Glenn,01-8-38-04-06-0-1,2.0,8.0,Personal/Political,Administrative Assistant,"William R. White - Legislation Files - Consumer Communications Reform Act, 1976-1977."
Glenn,01-8-38-04-06-0-1,2.0,9.0,Personal/Political,Administrative Assistant,"William R. White - Legislation Files - Consumer Communications Reform Act,  background materials, 1975-1976."
Glenn,01-8-38-04-06-0-1,2.0,10.0,Personal/Political,Administrative Assistant,"William R. White - Legislation Files - energy, 1979."
Glenn,01-8-38-04-06-0-1,2.0,11.0,Personal/Political,Administrative Assistant,"William R. White - Legislation Files - environment, 1977-1978."
Glenn,01-8-38-04-06-0-1,2.0,12.0,Personal/Political,Administrative Assistant,"William R. White - Legislation Files - Equal Rights Amendment, 1978."
Glenn,01-8-38-04-06-0-1,2.0,13.0,Personal/Political,Administrative Assistant,"William R. White - Legislation Files - executive reorganization, 1977-1978."
Glenn,01-8-38-04-06-0-1,2.0,14.0,Personal/Political,Administrative Assistant,"William R. White - Legislation Files - health issues, 1977-1978."
Glenn,01-8-38-04-06-0-1,2.0,15.0,Personal/Political,Administrative Assistant,"William R. White - Legislation Files - Illinois Brick decision, 1978-1979."
Glenn,01-8-38-04-06-0-1,2.0,16.0,Personal/Political,Administrative Assistant,"William R. White - Legislation Files - inflation issues, 1978-1979."
Glenn,01-8-38-04-06-0-1,2.0,17.0,Personal/Political,Administrative Assistant,"William R. White - Legislation Files - judiciary matters, 1977-1978 and no date."
Glenn,01-8-38-04-06-0-1,2.0,18.0,Personal/Political,Administrative Assistant,"William R. White - Legislation Files - laser fusion, 1975."
Glenn,01-8-38-04-06-0-1,2.0,19.0,Personal/Political,Administrative Assistant,"William R. White - Legislation Files - MX missile, 1981."
Glenn,01-8-38-04-06-0-1,2.0,20.0,Personal/Political,Administrative Assistant,"William R. White - Legislation Files - National  Afro-American Museum, Wilberforce, Ohio, 1979."
Glenn,01-8-38-04-06-0-1,2.0,21.0,Personal/Political,Administrative Assistant,"William R. White - Legislation Files - natural gas, 1977-1978."
Glenn,01-8-38-04-06-0-1,2.0,22.0,Personal/Political,Administrative Assistant,"William R. White - Legislation Files - Ohio legislative issues, 1978-1979."
Glenn,01-8-38-04-06-0-1,2.0,23.0,Personal/Political,Administrative Assistant,"William R. White - Legislation Files - private foundation investment in public utilities, 1977-1978."
Glenn,01-8-38-04-06-0-1,2.0,24.0,Personal/Political,Administrative Assistant,"William R. White - Legislation Files - revenue sharing, 1975."
Glenn,01-8-38-04-06-0-1,2.0,25.0,Personal/Political,Administrative Assistant,"William R. White - Legislation Files - sunset review of tax expenditure, 1978-1979."
Glenn,01-8-38-04-06-0-1,2.0,26.0,Personal/Political,Administrative Assistant,"William R. White - Legislation Files - state legislature per diem tax reduction, 1978."
Glenn,01-8-38-04-06-0-1,2.0,27.0,Personal/Political,Administrative Assistant,"William R. White - Legislation Files - transportation issues, 1975-1980."
Glenn,01-8-38-04-06-0-1,2.0,28.0,Personal/Political,Administrative Assistant,"William R. White - Legislation Files - Treasury Department matters, 1977-1978."
Glenn,01-8-38-04-06-0-1,2.0,29.0,Personal/Political,Administrative Assistant,"William R. White - Legislation Files - Uranium Enrichment Production (Portsmouth/Piketon plant), 1975 - May 1976."
Glenn,01-8-38-04-06-0-1,2.0,30.0,Personal/Political,Administrative Assistant,"William R. White - Legislation Files - Uranium Enrichment Production (Portsmouth/Piketon plant), June - December 1976."
Glenn,01-8-38-04-06-0-1,2.0,31.0,Personal/Political,Administrative Assistant,"William R. White - Legislation Files - Uranium Enrichment Production (Portsmouth/Piketon plant), 1977-1978."
Glenn,01-8-38-04-06-0-1,2.0,32.0,Personal/Political,Administrative Assistant,"William R. White - Legislation Files - utility reform, 1976-1978."
Glenn,01-8-38-04-06-0-1,2.0,33.0,Personal/Political,Administrative Assistant,"William R. White - Legislation Files - veterans, 1977."
Glenn,01-8-39-16-07-0-1,3.0,1.0,Personal/Political,Administrative Assistant,"William R. White - Subject Files - Aeroquip Company plant (Youngstown), 1978."
Glenn,01-8-39-16-07-0-1,3.0,2.0,Personal/Political,Administrative Assistant,"William R. White - Subject Files - African American issues, 1976-1978."
Glenn,01-8-39-16-07-0-1,3.0,3.0,Personal/Political,Administrative Assistant,"William R. White - Subject Files - agriculture issues, 1977-78."
Glenn,01-8-39-16-07-0-1,3.0,4.0,Personal/Political,Administrative Assistant,"William R. White - Subject Files - agriculture issues, 1980-1982."
Glenn,01-8-39-16-07-0-1,3.0,5.0,Personal/Political,Administrative Assistant,"William R. White - Subject Files - banking, Depository Institutions Deregulation Committee, 1979-1982."
Glenn,01-8-39-16-07-0-1,3.0,6.0,Personal/Political,Administrative Assistant,"William R. White - Subject Files - Bragaw, Richard S., 1977-1978."
Glenn,01-8-39-16-07-0-1,3.0,7.0,Personal/Political,Administrative Assistant,"William R. White - Subject Files - Buckeye Federal Savings and Loan, 1977."
Glenn,01-8-39-16-07-0-1,3.0,8.0,Personal/Political,Administrative Assistant,"William R. White - Subject Files - busing, 1976-1977."
Glenn,01-8-39-16-07-0-1,3.0,9.0,Personal/Political,Administrative Assistant,"William R. White - Subject Files - campaign contributions by federal employees, background materials, 1974-1979."
Glenn,01-8-39-16-07-0-1,3.0,10.0,Personal/Political,Administrative Assistant,"William R. White - Subject Files - Cardington, Ohio, tornado, 1981."
Glenn,01-8-39-16-07-0-1,3.0,11.0,Personal/Political,Administrative Assistant,"William R. White - Subject Files - census (1980) matters, 1979."
Glenn,01-8-39-16-07-0-1,3.0,12.0,Personal/Political,Administrative Assistant,"William R. White - Subject Files - Cleveland, 1978-1981."
