Collectionq,Location,Box,Folder,Series,Subseries,Description
Pryce,01-7-36-08-06-0-1,37.0,1.0,Schedules,Daily Report,January - June 1993.
Pryce,01-7-36-08-06-0-1,37.0,2.0,Schedules,Daily Report,July - December 1993.
Pryce,01-7-36-08-06-0-1,37.0,3.0,Schedules,Daily Report,January - June 1994.
Pryce,01-7-36-08-06-0-1,37.0,4.0,Schedules,Daily Report,July - December 1994.
Pryce,01-7-36-08-06-0-1,37.0,5.0,Schedules,Daily Report,January - June 1995.
Pryce,01-7-36-08-06-0-1,37.0,6.0,Schedules,Daily Report,July - December 1995.
Pryce,01-7-36-08-06-0-1,37.0,7.0,Schedules,Daily Report,January - June 1996.
Pryce,01-7-36-08-06-0-1,37.0,8.0,Schedules,Daily Report,July - December 1996.
Pryce,01-7-36-08-06-0-1,37.0,9.0,Schedules,Daily Report,January - June 1997.
Pryce,01-7-36-08-06-0-1,37.0,10.0,Schedules,Daily Report,July - December 1997.
Pryce,01-7-36-08-06-0-1,37.0,11.0,Schedules,Daily Report,January - June 1998.
Pryce,01-7-36-08-06-0-1,37.0,12.0,Schedules,Daily Report,July - December 1998.
Pryce,01-7-36-08-06-0-1,37.0,13.0,Schedules,Daily Report,January - June 1999.
Pryce,01-7-36-08-06-0-1,37.0,14.0,Schedules,Daily Report,July - December 1999.
Pryce,01-7-36-08-06-0-1,37.0,15.0,Schedules,Daily Report,January - June 2000.
Pryce,01-7-36-08-06-0-1,37.0,16.0,Schedules,Daily Report,July - December 2000.
Pryce,01-7-36-08-06-0-1,37.0,17.0,Schedules,Daily Report,January - June 2001.
Pryce,01-7-36-08-06-0-1,37.0,18.0,Schedules,Daily Report,July - December 2001.
Pryce,01-7-36-08-06-0-1,37.0,19.0,Schedules,Daily Report,January - June 2002.
Pryce,01-7-36-08-06-0-1,37.0,20.0,Schedules,Daily Report,July - December 2002.
Pryce,01-7-36-08-06-0-1,37.0,21.0,Schedules,Daily Report,2003.
Pryce,01-7-36-08-06-0-1,37.0,22.0,Schedules,Daily Report,2004.
Pryce,01-7-36-08-06-0-1,37.0,23.0,Schedules,Daily Report,2005.
Pryce,01-7-36-08-06-0-1,37.0,24.0,Schedules,Daily Report,2006.
Pryce,01-7-36-08-06-0-1,37.0,25.0,Schedules,Daily Report,2007.
Pryce,01-7-36-08-06-0-1,37.0,26.0,Schedules,Daily Report,2008.
Pryce,01-7-36-08-06-0-1,37.0,27.0,Schedules,Events,"General File, 1993."
Pryce,01-7-36-08-06-0-1,37.0,28.0,Schedules,Events,"Rickenbacker Airport tour, February 4, 1993."
Pryce,01-7-36-08-06-0-1,37.0,29.0,Schedules,Events,"Congressional Institute, Inc., Princeton Conference, February 25-27, 1993."
Pryce,01-7-36-08-06-0-1,37.0,30.0,Schedules,Events,"Columbus Apartment Association meeting, April 19, 1993."
Pryce,01-7-36-08-06-0-1,37.0,31.0,Schedules,Events,"Ohio State University Hospital tour, September 16, 1993."
Pryce,01-7-36-08-06-0-1,37.0,32.0,Schedules,Events,"Goodale Park Playground dedication, November 6, 1993."
