Collectionq,Location,Box,Folder,Series,Subseries,Description
Regula,01-7-33-07-07-0-1,92.0,1.0,Steel Caucus & Trade,Steel Caucus,"Asian Financial Crisis, letter to President William Clinton regarding, April 23, 1998."
Regula,01-7-33-07-07-0-1,92.0,2.0,Steel Caucus & Trade,Steel Caucus,"Background Materials, 1990-1994."
Regula,01-7-33-07-07-0-1,92.0,3.0,Steel Caucus & Trade,Steel Caucus,"Bearing Manufacturers Association breakfast, May 16, 1996."
Regula,01-7-33-07-07-0-1,92.0,4.0,Steel Caucus & Trade,Steel Caucus,"Billet and Bar Steel Shipments from Brazil, 1993."
Regula,01-7-33-07-07-0-1,92.0,5.0,Steel Caucus & Trade,Steel Caucus,"Caucus Constitution and By-laws, circa 1993."
Regula,01-7-33-07-07-0-1,92.0,6.0,Steel Caucus & Trade,Steel Caucus,"Correspondence and Memoranda, 1993."
Regula,01-7-33-07-07-0-1,92.0,7.0,Steel Caucus & Trade,Steel Caucus,"Correspondence and Memoranda, 1997."
Regula,01-7-33-07-07-0-1,92.0,8.0,Steel Caucus & Trade,Steel Caucus,"Correspondence and Memoranda, 2005-2007."
Regula,01-7-33-07-07-0-1,92.0,9.0,Steel Caucus & Trade,Steel Caucus,"Credit Union Account Closing, March 1996."
Regula,01-7-33-07-07-0-1,92.0,10.0,Steel Caucus & Trade,Steel Caucus,"Corrosion on U.S. Infrastructure and Economy, staffing briefing on, February 9, 1998."
Regula,01-7-33-07-07-0-1,92.0,11.0,Steel Caucus & Trade,Steel Caucus,"Countervailing Duty Regulations, Commerce Department proposed, May - August 1997."
Regula,01-7-33-07-07-0-1,92.0,12.0,Steel Caucus & Trade,Steel Caucus,"Customs Steel Partnership Project, 2007."
Regula,01-7-33-07-07-0-1,92.0,13.0,Steel Caucus & Trade,Steel Caucus,"Cut-to-Length Steel Plate, International Trade Commission ruling on dumping of, November - December 1996."
Regula,01-7-33-07-07-0-1,92.0,14.0,Steel Caucus & Trade,Steel Caucus,"Cut-to-Length Steel Plate, letter to President William Clinton concerning dumping of, June - November 1997."
Regula,01-7-33-07-07-0-1,92.0,15.0,Steel Caucus & Trade,Steel Caucus,"Dear Colleague Letter, invitation to join caucus, January 20, 1995."
Regula,01-7-33-07-07-0-1,92.0,16.0,Steel Caucus & Trade,Steel Caucus,"Department of Commerce Import Administration response to steel industry petitions, 1993-1995."
Regula,01-7-33-07-07-0-1,92.0,17.0,Steel Caucus & Trade,Steel Caucus,"Department of Energy/Steel Industry Compact, April - May 1995."
Regula,01-7-33-07-07-0-1,92.0,18.0,Steel Caucus & Trade,Steel Caucus,"Ferroalloy Association 25th Anniversary, remarks by RR on, February 1996."
Regula,01-7-33-07-07-0-1,92.0,19.0,Steel Caucus & Trade,Steel Caucus,"Ferroalloy Congressional Caucus, 1990-1995."
Regula,01-7-33-07-07-0-1,92.0,20.0,Steel Caucus & Trade,Steel Caucus,"Ford Motor Company, 1998-1992."
Regula,01-7-33-07-07-0-1,92.0,21.0,Steel Caucus & Trade,Steel Caucus,"General Agreement on Tariffs and Trade (GATT) issues, 1993-1994."
