Collectionq,Location,Box,Folder,Series,Subseries,Description
Regula,01-7-33-13-05-0-1,116.0,9.0,Travel,Travel,"Outdoor Recreation/Parks/Indian Affairs Trip, March 30 - April 4, 1975."
Regula,01-7-33-13-05-0-1,116.0,10.0,Travel,Travel,"Franco-German-American Parliamentary Exchange, April and September 1975."
Regula,01-7-33-13-05-0-1,116.0,11.0,Travel,Travel,"Conference on Disarmament, Geneva, June-August 1975."
Regula,01-7-33-13-05-0-1,116.0,12.0,Travel,Travel,"U.S.S. Nimitz Carrier Orientation, June 21-22, 1975."
Regula,01-7-33-13-05-0-1,116.0,13.0,Travel,Travel,"Mideast Trip - Italy, Israel, Egypt, Switzerland and Spain, August 2-13, 1975."
Regula,01-7-33-13-05-0-1,116.0,14.0,Travel,Travel,"Warsaw, Bucharest, Budapest, Prague and London, November 10-23, 1976 (trip cancelled)."
Regula,01-7-33-13-05-0-1,116.0,15.0,Travel,Travel,"Western Parks and Forests Trip, August 12-25, 1977."
Regula,01-7-33-13-05-0-1,116.0,16.0,Travel,Travel,"NATO Bases in Europe Trip, January 3-9, 1978."
Regula,01-7-33-13-05-0-1,116.0,17.0,Travel,Travel,"Budget Committee Hearings, Dallas, Texas, February 19-20, 1978."
Regula,01-7-33-13-05-0-1,116.0,18.0,Travel,Travel,"Far East Trip - Japan and Philippines, November 9-21, 1978."
Regula,01-7-33-13-05-0-1,116.0,19.0,Travel,Travel,"MX Missile Hearings, Utah and California, November 4-6, 1979."
Regula,01-7-33-13-05-0-1,116.0,20.0,Travel,Travel,"CODEL O'Neill - Morocco, Yugoslavia and Portugal, April 2-14, 1980."
Regula,01-7-33-13-05-0-1,116.0,21.0,Travel,Travel,"Budget Committee Hearings, Ft. Worth, Texas, April 4, 1981."
Regula,01-7-33-13-05-0-1,116.0,22.0,Travel,Travel,"CODEL O'Neill - Australia and New Zealand, April 13-22, 1981."
Regula,01-7-33-13-05-0-1,116.0,23.0,Travel,Travel,"Military Construction Subcommittee Field Trip, Ft. Carson, Colorado, June 7-9, 1981."
Regula,01-7-33-13-05-0-1,116.0,24.0,Travel,Travel,"Military Construction Subcommittee Field Trip to the Persian Gulf, August 2-13, 1981 (trip cancelled)."
Regula,01-7-33-13-05-0-1,116.0,25.0,Travel,Travel,"Military Construction Subcommittee Field Trip to Georgia and Florida, August 10-16, 1981."
Regula,01-7-33-13-05-0-1,116.0,26.0,Travel,Travel,"U.S.S. Gallery Commissioning, Bath, Maine, December 5, 1981."
Regula,01-7-33-13-05-0-1,116.0,27.0,Travel,Travel,"Interior Committee Trip to Yellowstone and Grand Teton National Parks, February 10-15, 1982."
Regula,01-7-33-13-05-0-1,116.0,28.0,Travel,Travel,"Electronic Industries Association Legislative Roundtable, Florida, April 12-15, 1982."
Regula,01-7-33-13-05-0-1,116.0,29.0,Travel,Travel,"Symposium on Congressional Budget Process, Princeton University, June 11-13, 1982."
Regula,01-7-33-13-05-0-1,116.0,30.0,Travel,Travel,"Vacuum Cleaner Management Association Annual Meeting, Virginia, September 25-28, 1982."
Regula,01-7-33-13-05-0-1,116.0,31.0,Travel,Travel,"U.S.S. New Jersey Commissioning, Long Beach, California, December 28, 1982."
Regula,01-7-33-13-05-0-1,116.0,32.0,Travel,Travel,"Seminar for New Congressional Members, Williamsburg, Virginia, January 7-10, 1983."
Regula,01-7-33-13-05-0-1,116.0,33.0,Travel,Travel,"Naval Training Center Graduation, Orlando, Florida, January 13-14, 1983."
Regula,01-7-33-13-05-0-1,116.0,34.0,Travel,Travel,"Military Construction Subcommittee Field Trip, MX Site Visit, Warren AFB, Wyoming, May 5-6, 1983."
Regula,01-7-33-13-05-0-1,116.0,35.0,Travel,Travel,"Guatemala Election Observation, June 30 - July 2, 1983."
Regula,01-7-33-13-05-0-1,116.0,36.0,Travel,Travel,"CODEL O'Neill - Japan, China, Singapore and Hong Kong, March 25 - April 10, 1983."
Regula,01-7-33-13-05-0-1,116.0,37.0,Travel,Travel,"Western Media Symposium on the Budget, San Francisco, July 8-9, 1983."
Regula,01-7-33-13-05-0-1,116.0,38.0,Travel,Travel,"Midwestern Media Symposium on the Budget, Chicago, July 15-16, 1983."
Regula,01-7-33-13-05-0-1,116.0,39.0,Travel,Travel,"International Joint Commission Parliamentary/Congressional Seminar, Ontario, September 22-23, 1983."
Regula,01-7-33-13-05-0-1,116.0,40.0,Travel,Travel,"Military Construction Subcommittee Field Trip, Vandenburg AFB, California, November 28-30, 1983."
Regula,01-7-33-13-05-0-1,116.0,41.0,Travel,Travel,"Military Construction Subcommittee Field Trip, Key West, Florida and Guantanamo Bay, January 18-23, 1984."
Regula,01-7-33-13-05-0-1,116.0,42.0,Travel,Travel,"Military Construction Subcommittee Field Trip, Great Lakes Naval Training Center, February 15-16, 1984."
Regula,01-7-33-13-05-0-1,116.0,43.0,Travel,Travel,"Electronic Industries Association Legislative Roundtable, Florida, April 16-19, 1984."
Regula,01-7-33-13-05-0-1,116.0,44.0,Travel,Travel,"CODEL Alexander - Central and South America, April 26-30, 1984."
Regula,01-7-33-13-05-0-1,116.0,45.0,Travel,Travel,"CODEL O'Neill - Soviet Union, Germany and Spain, April 4-15, 1985."
Regula,01-7-33-13-05-0-1,116.0,46.0,Travel,Travel,"New York City Congressional Trip, May 16-19, 1985."
Regula,01-7-33-13-05-0-1,116.0,47.0,Travel,Travel,"CODEL Bevill - Tennessee-Tombigbee Waterway, June 1-2, 1985."
Regula,01-7-33-13-05-0-1,116.0,48.0,Travel,Travel,"Chattahoochee National Park and Martin Luther King, Jr. Federal Holiday Commission Meeting, Atlanta, July 28-29, 1985."
Regula,01-7-33-13-05-0-1,116.0,49.0,Travel,Travel,"National Parks in Montana and Colorado, August 17-27, 1985."
Regula,01-7-33-13-05-0-1,116.0,50.0,Travel,Travel,"Congressional Steel Caucus - Canada/U.S. Legislative Visits Program, Ontario, September 19-21, 1985."
Regula,01-7-33-13-05-0-1,116.0,51.0,Travel,Travel,"Interior Subcommittee Hearing - Navy Pier Study, Chicago, October 15, 1985."
Regula,01-7-33-13-05-0-1,116.0,52.0,Travel,Travel,"U.S./Japan Trade Seminar, Los Angeles, October 25, 1985."
