Collectionq,Location,Box,Folder,Series,Subseries,Description
Regula,01-7-33-09-02-0-1,99.0,11.0,Voting Record,Voting Record,"Statistics on votes cast by RR per Congressional session, 1973-2007."
Regula,01-7-33-09-02-0-1,99.0,12.0,Voting Record,Voting Record,"Roll Call Votes, 93rd Congress, 1st Session, 1973."
Regula,01-7-33-09-02-0-1,99.0,13.0,Voting Record,Voting Record,"Roll Call Votes, 93rd Congress, 2nd Session, 1974."
Regula,01-7-33-09-02-0-1,99.0,14.0,Voting Record,Voting Record,"Roll Call Votes, 94th Congress, 1st Session, 1975."
Regula,01-7-33-09-02-0-1,99.0,15.0,Voting Record,Voting Record,"Roll Call Votes, 95th Congress, 1st Session, 1977."
Regula,01-7-33-09-02-0-1,99.0,16.0,Voting Record,Voting Record,"Roll Call Votes, 95th Congress, 2nd Session, 1978."
Regula,01-7-33-09-02-0-1,99.0,17.0,Voting Record,Voting Record,"Roll Call Votes, 96th Congress, 1st Session, 1979."
Regula,01-7-33-09-02-0-1,99.0,18.0,Voting Record,Voting Record,"Roll Call Votes, 96th Congress, 2nd Session, 1980."
Regula,01-7-33-09-02-0-1,99.0,19.0,Voting Record,Voting Record,"Roll Call Votes, 97th Congress, 1st Session, 1981."
Regula,01-7-33-09-02-0-1,99.0,20.0,Voting Record,Voting Record,"Roll Call Votes, 97th Congress, 2nd Session, 1982."
Regula,01-7-33-09-02-0-1,99.0,21.0,Voting Record,Voting Record,"Roll Call Votes, 98th Congress, 1st Session, 1983."
Regula,01-7-33-09-02-0-1,99.0,22.0,Voting Record,Voting Record,"Roll Call Votes, 98th Congress, 2nd Session, 1984."
Regula,01-7-33-09-02-0-1,99.0,23.0,Voting Record,Voting Record,"Legislative Activity Guide, 99th Congress, 1st Session, 1985 (part 1 of 3)."
Regula,01-7-33-09-02-0-1,99.0,24.0,Voting Record,Voting Record,"Legislative Activity Guide, 99th Congress, 1st Session, 1985 (part 2 of 3)."
Regula,01-7-33-09-02-0-1,99.0,25.0,Voting Record,Voting Record,"Legislative Activity Guide, 99th Congress, 1st Session, 1985 (part 3 of 3)."
Regula,01-7-33-09-03-0-1,100.0,1.0,Voting Record,Voting Record,"Legislative Activity Guide, 100th Congress, 1st Session, 1987 (part 1 of 2)."
Regula,01-7-33-09-03-0-1,100.0,2.0,Voting Record,Voting Record,"Legislative Activity Guide, 100th Congress, 1st Session, 1987 (part 2 of 2)."
Regula,01-7-33-09-03-0-1,100.0,3.0,Voting Record,Voting Record,"Legislative Activity Guide, 100th Congress, 2nd Session, 1988 (part 1 of 2)."
Regula,01-7-33-09-03-0-1,100.0,4.0,Voting Record,Voting Record,"Legislative Activity Guide, 100th Congress, 2nd Session, 1988 (part 2 of 2)."
Regula,01-7-33-09-03-0-1,100.0,5.0,Voting Record,Voting Record,"Legislative Activity Guide, 102nd Congress, 2nd Session, 1992 (part 1 of 2)."
Regula,01-7-33-09-03-0-1,100.0,6.0,Voting Record,Voting Record,"Legislative Activity Guide, 102nd Congress, 2nd Session, 1992 (part 2 of 2)."
Regula,01-7-33-09-03-0-1,100.0,7.0,Voting Record,Voting Record,"RR's voting record in support of White House legislative initiatives, 103rd Congress, 1st Session,"
Regula,01-7-33-09-03-0-1,100.0,8.0,Voting Record,Voting Record,"Legislative Activity Guide, 103rd Congress, 2nd Session, 1994."
Regula,01-7-33-09-03-0-1,100.0,9.0,Voting Record,Voting Record,"Roll Call Votes, 104th Congress, 1st Session, 1995."
Regula,01-7-33-09-03-0-1,100.0,10.0,Voting Record,Voting Record,"Roll Call Votes, 104th Congress, 2nd Session, 1996."
Regula,01-7-33-09-03-0-1,100.0,11.0,Voting Record,Voting Record,"Roll Call Votes, 105th Congress, 1st Session, 1997."
